Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,16974.959659187338,490.9771247192544,5703.536837467815,4778.764670731808,4171.167293728495,1390.9641735281996,439.54955901176845,6.656288395267236,14.454868862231125,23.474767390459107,44.8648158899817,61.05033594470136,76.2738926101608,110.09545328429951,154.10670234215354,201.9170304616704,267.0319986698022,349.7267070830391,442.62476052004575,577.1917302953109,635.9280643542991,678.6965168680953,666.4588168658461,624.9736943356235,499.7568256541375,419.35776083961036,339.87293152033436,289.95888333426325,234.65306785274132,208.5095831034385,195.93499012942002,187.4052806432904,179.97475047415887,179.76636120047203,180.32050821218087,184.37550376062373,186.11064018808412,192.04078776942552,193.42752618444268,193.53568140013184,188.9813207935646,188.0102201094807,183.63184646938493,181.3386136486462,180.27411363272708,184.87828550782487,187.40196466182687,194.81772200902824,204.71879636805943,228.4503794936256,250.2478437849664,285.49900368168875,309.1501670820196,340.6723225705462,373.1686783866359,391.9899375904522,394.6636891675184,394.2591887344709,389.8163875095952,361.5369752821381,339.9705318330461,310.24212986226064,280.19828202812323,235.2935022830959,194.94401217233826,158.86550989398108,130.27529615151434,110.24138052798679,97.45842702091957,90.56270441780536,83.39536023176666,77.84371072839186,73.24327069269188,70.99850958585372,67.84248982185434,65.87816666289841,65.36376368660271,60.30807561714561,56.067027937710584,50.298417643807724,42.15562977217989,34.244737002043216,28.051872144456173,18.632612673185193,11.018362588723424,6.251180331182457,1.2797129518330153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,21664.458529322485,524.4306746660226,6630.740352031051,6279.956491458561,5605.820097696865,1986.6126034244242,636.8983100455537,7.870138571086228,18.67259270717139,29.80039717533077,38.68332066084928,62.07907855931157,92.948804230337,111.1744333354993,163.20190942643708,230.35418626527905,317.45102790773456,378.1911763773978,527.5172114150834,641.357916225028,749.9371768135833,762.390687869508,794.8369045718957,710.8080316745587,609.22985809075,487.3139104198792,421.3522644003537,345.1464080572312,300.9686211181863,271.7256819042176,254.80215767672084,243.04463729919956,233.89587684721528,230.20305442626525,233.4398137696019,237.62619647910407,242.1715228552819,246.42468718039115,254.24248212377674,252.30913928912773,248.68046593176356,246.0319525245364,245.25986692316428,240.0233129288446,243.80115799606145,248.54817164750443,257.99640420536264,264.8605746939939,279.27688876285407,301.8778138506309,357.5996029675244,382.520867082617,419.71187336511696,479.70036565265025,516.0503602777011,511.07915652586405,530.4262969275198,550.5159427809447,513.1503512269094,479.19657889671953,453.4741503016906,415.577379941073,354.41677471805923,307.5353237809419,265.08583017408745,217.81407483982932,183.90624160268933,155.37938606260366,139.8438654791757,129.8545855621228,127.43514008426443,121.64601815210337,117.35728453525631,113.45919903075256,107.29565412059748,98.0612290905012,90.7392927186945,85.72826544314117,78.86616316564773,71.15336696260042,58.96254460954452,49.304835441048795,40.34774150666096,27.449809036178173,17.511642143481474,12.520221550593252,6.25319837746148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,27973.07142040902,798.3308843045859,9564.914910250038,7386.051192845891,7243.156523111254,2282.2548804883327,698.3630294089256,10.204839499939355,22.451893893035308,39.157001324850356,56.31020461756957,96.85871989687395,131.1534643702192,185.82173051190318,256.37303019019504,359.1668932310169,474.38328014334996,601.6099755024296,797.4778643958687,953.8993906268413,1092.6251655861197,1111.9561559705132,1106.4932465630372,978.2814292748959,854.4778870002292,670.7895766346644,563.7540453210693,466.2182463128666,387.8935462851184,323.9823753240808,302.5523925367644,291.6980672301206,275.0601987996496,274.86467291125354,275.21978551093616,283.84935788044726,282.2059829961787,289.92569179598985,295.32600519579637,298.2692054111934,287.0656910802005,286.4661390136977,282.87198137577406,280.04000535711845,276.1614786678996,282.85365138336374,291.4522432699912,303.10460022668013,314.2134808059388,343.8141351119528,390.94225836287626,431.8703819185198,496.1760962102125,548.5727110852905,610.5568213376619,640.37156258549,710.2382573381607,701.5929792908381,712.0201071166745,674.1963785668107,657.453305762823,562.4491507980874,497.6587711006853,411.47627145320365,337.6895411598149,251.8685047376408,201.4408408735627,170.43421372296396,149.11440036438734,139.1633755544102,133.86501383944585,130.57154490333284,123.3594207445367,119.91466698194006,113.35708615309359,105.76099713322486,96.76167052815615,90.0334224405553,83.19901126128926,79.51154280158293,66.66573276075412,56.31193941681892,48.71713612542735,33.946487188090444,18.785249340251482,12.473975949403501,6.195864463371228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,37471.111239558966,962.4270828970111,10544.512299364285,10050.993616215235,11038.865765150305,3597.0567163069845,1277.2557596251331,10.50859847735422,17.097255434745847,34.09834342841884,72.34625343589244,119.62505988584259,155.13259951470008,241.57814351137654,312.04082920868063,397.9198740050308,524.5037396636144,702.3544961214832,837.7933861224296,1058.9065851793075,1167.5143556632765,1234.081415931279,1166.9979921606075,1116.772012301702,925.4601123124104,784.5248627560526,627.6834671470928,558.6465292691173,450.18382598283637,402.5912353504169,379.3238383770311,368.1326078443085,352.0579103833725,356.92742912653074,364.2557602853534,376.2619702287198,384.16100121236707,393.3547372022696,403.2989902844548,408.5240101299193,407.00933331214134,401.87212885534285,403.23279030599434,401.3170296127352,402.13106857029715,410.00560813894737,427.9733020190662,442.38400605635513,464.87911843071817,501.7347204468,590.7346647901413,651.1855581328692,714.7225263141463,784.1275664691287,929.3931527429297,963.083832221616,1035.4219708172498,1081.372423707387,1142.6137818352615,1052.6649656476036,1003.4664863843852,893.9580054642884,786.8554954134399,626.7371792923499,510.9017133437033,401.27671530526254,331.29263224792163,274.9328146819315,238.2115941248219,219.17833209145462,207.43152209889988,200.9612777012397,196.4642196069999,196.7758541905777,192.89286162182236,189.6873062775716,179.1251223020789,170.0118768106661,157.23692995092063,140.10599150408288,122.86518287442048,104.26682621851818,85.19323188596677,58.67215124120169,39.34256604859072,20.770442042402877,9.978132468712372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,48297.23550704593,1258.62602349421,12751.04772466574,12745.701337432765,14157.323390151054,5153.147384364964,2231.389646937193,14.782153549169864,23.2491147397366,47.695734599434,94.66711235340784,152.8950117573163,204.82986031163887,314.38970082868667,406.1173353548197,517.9773887494382,669.6922984077273,868.6825899402916,1023.5521814578103,1213.9629740052671,1394.3404009458427,1468.461877773726,1397.1198952376096,1332.9136708619606,1166.159849373601,939.8519242475476,758.3326736649194,671.2169957419103,550.0209465402934,497.6746330378045,471.22235605381246,459.4382203593652,441.89228242320326,449.6615730605876,459.8704465888768,474.0853348652395,484.1726353418882,497.26751612565727,509.21831034129525,515.9785941187049,516.7888500905391,516.1490629073363,520.9724735907199,519.6633828084553,521.8120507073088,535.0072266286966,558.1590373020665,577.4702308423667,610.2090032219453,660.4808334121539,727.2693413225377,805.4266261863709,908.6757843873623,1004.9807242762653,1137.309727080145,1274.9973003547946,1361.292696194564,1409.9153767199102,1428.665759196483,1404.8729537833367,1280.6296830969354,1144.365400682468,996.1913581924199,846.0916508203798,664.6662716207313,543.8975571492687,460.97709623364267,394.9136554842793,350.28744935720545,327.8990089022606,314.15052270099494,306.62699903035013,302.28373140518073,314.6233191326178,326.73012252805313,338.13634912832384,332.41423140491406,322.24796033939936,293.1190165894874,247.72872351148305,201.83826098914096,164.19072340724603,130.98523711806632,88.8012981759762,60.487842785205316,34.587492732665936,16.85251075528449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,67430.58568746006,1147.6512098597193,11294.871083928107,16112.977014177859,21020.945817329444,11015.331568006262,6838.808994158649,0.0,23.44433054166173,47.63607084896936,76.61617798328399,145.57304193279313,213.6034959349153,276.7437099736859,364.03438264440985,481.8454620977414,583.9859716400821,774.825490715098,912.4407386010236,1117.5693738427601,1217.7062173728875,1294.9186785129025,1203.9747846155312,1174.125406366581,978.8499229626773,850.3155266905371,704.3135105102846,638.3184347755988,543.2899790151089,512.5011521683177,497.07680929735,491.4397255176997,494.54507906391024,499.61273205903467,530.226691363099,544.770456634067,571.8987224259839,585.6821935869255,625.2486634345788,640.7446762287592,660.8038105824959,674.7510310062672,715.7943874430551,715.5902313139695,737.5529328090361,763.8783618078993,814.8775949623275,843.1825835796791,915.9258540361265,1001.9543319399547,1093.310579126617,1231.0857370633255,1302.4518274231384,1406.1609687276368,1662.3472579055965,1809.9997874517326,1880.8024924554197,2037.8149648283081,2207.2853167869416,2061.702323171316,1958.857867131748,1822.019178467373,1640.418095916909,1345.027757329808,1163.883369047133,1028.1496018169485,915.0236869999628,826.6075740263458,786.5506592335066,774.0303185901448,771.4844902045159,783.6821931439371,807.3243720340247,870.5382324519794,943.0293131279562,1025.834111841084,1039.1755227274364,1020.2219173988394,928.8968712732874,794.7513357036545,605.0229779035973,501.06731362886285,368.3747004550305,255.2356863470781,155.30368513822398,100.44489954950359,31.502736497350732,12.977235694699859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,83875.37621864509,1751.7716803630133,17491.28527848526,20087.92225366646,23091.111789743692,13999.070311660096,7454.214904726597,0.0,24.418042665576976,58.549768243987245,101.00501969072843,191.3183988791964,317.99968771685263,444.09518171297935,614.385581453692,837.6949562943455,1079.6189651017462,1268.8567411668218,1485.114752170601,1746.103014191859,1873.6680695031491,1910.3293409981945,1844.9777721946398,1748.2505473372696,1461.3102385544134,1231.0519335182162,1004.3089474540013,895.3041302706104,759.0150098020786,711.9590199035381,674.0922218238667,666.9250996936553,659.0017763559238,656.5560083480906,668.3186301135931,692.6251722353979,705.9995355456642,724.8715026995178,763.7550814095723,789.4680794632986,808.3737458323249,833.9981568381793,862.8634077953583,884.5963599470941,908.5127894481986,929.0578884237557,971.0210715327008,1017.0365566670214,1052.2455948491536,1133.5923162906654,1318.7330983771972,1419.7008798259515,1527.6830347433,1731.6828443930967,1894.7448266584624,1958.6705075125406,2084.738389784739,2258.802530640276,2253.418078029555,2182.569163410341,2071.8897650608205,1961.2467652790272,1745.9650044055834,1592.9962309141852,1469.2866817965255,1372.3760401789175,1253.5093210570094,1171.1779229330425,1088.7603696383844,1046.4719418641942,1014.2077840884951,996.729666184012,969.4984951573152,996.4587748148848,1027.5970830331303,1067.4524118686904,1076.400124467907,1081.6314637620146,1015.3566252386007,863.5285837311035,710.8198148574655,580.0977170262249,417.4058168225485,278.35574245789945,198.6775255720196,113.35681446311148,39.13286406081325,11.999400398197105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,81215.49292685866,1620.3392945291284,15883.610819939622,18950.022137825625,23096.100692744036,14227.29307740496,7438.126904415313,0.0,24.229753876002256,34.6919134568553,71.95013348318577,185.6833306522829,275.41663121762804,424.5067983758313,603.860733467343,809.9285075078326,941.2442380377977,1142.3728288698946,1356.1658018247185,1522.6358355698508,1699.5798808278446,1737.5185160406972,1718.11229974069,1536.8078248850784,1374.3915896434091,1099.6398303474589,945.213666644348,802.1912766261829,717.3705160718898,643.800705102322,613.6577304796945,610.1052931723508,605.2714524629455,606.17889648955,619.2497357536467,644.0973007697312,658.1412575084124,678.4380551411805,717.5959892796338,744.5786186301785,764.1036099573618,790.5819249084398,820.0380026980473,843.6935549509915,868.5306996000663,892.4352561285817,938.5650047428841,989.2586020904668,1028.6022496393498,1115.267552552008,1238.2688530697142,1338.4161983622982,1519.5646307571874,1661.075821611909,1809.067453113961,1942.3350072183007,2164.5004535823427,2202.827624880893,2250.180121863205,2216.307974795157,2180.042655834858,1979.920020590672,1831.862730133252,1692.4640331430369,1550.2594180076017,1378.035482176263,1259.0869279187668,1176.9808945105235,1095.1117940795307,1052.799962448891,1020.1670487174921,1001.8135267371457,973.4738643253155,998.9145664077057,1028.1855589326874,1066.316074204182,1073.8749290703174,1034.5831116323163,967.714276297388,860.7874396026596,709.3302925040109,558.4400141471947,460.8485319337147,322.4865865759169,198.68339469509968,113.2109221452248,59.993283255787446,11.858048351498676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,82691.2377776159,1786.830512021987,17836.048561020532,18885.299313781845,23893.60910425602,13513.793458758106,6775.656827777412,0.0,16.215505499254967,37.35331073802029,79.74672579622602,178.39091549227933,321.48224574441446,472.92818937319146,680.7136193786005,901.589353302111,1091.8880338912907,1263.6176729720246,1561.6162932023055,1717.9109776947007,1928.9999463363627,1954.4219457930328,1944.5570356106866,1732.561478133781,1518.278461465174,1194.284077409312,1026.323285209749,859.1103777735518,731.1831298536601,677.762459533996,650.9329408657183,623.4476206594968,609.7250254664822,603.8046558748653,615.8324592351878,619.7400141967294,644.3592119639973,659.0274493626379,694.7854808901634,718.3849611394393,750.1935524012406,764.8050175678978,804.2806828633773,822.9275130622882,855.8319075758177,878.2120857245833,935.6255399855513,971.3496183796184,1035.8891961713994,1107.0637767643177,1251.024636469832,1414.6876686871578,1560.5301288042133,1696.612510228681,1892.6943875935547,2094.853029461277,2202.110857945493,2285.534690843606,2350.136810317635,2367.400037278709,2172.3891025426024,2004.6120713032597,1852.047809249827,1672.8179378026887,1431.4773337997378,1314.5567806968609,1207.7349908709953,1112.6880001675909,1043.3325955783837,1001.7170871577592,985.4767310031026,957.0810949776816,934.3790719967864,918.8598826713063,933.6719520352133,939.1522094973328,930.719234142959,931.8934392672572,886.3433039504619,774.9444408985963,645.2545139482695,544.4938313666845,416.4992384100833,298.23307291311437,207.21038323435658,131.84185587162028,57.546235665654756,11.52506861102313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),66929.31806019336,1513.6060537780168,14396.208656834066,15330.603410384272,18936.52575417455,11230.367092167164,5522.007092855284,0.0,16.201339002435645,34.992657885039954,69.61702689225785,150.0356594290299,271.6248989253089,396.2184125105951,574.9160591333493,761.300953875455,920.5897784581537,1058.9204107675266,1297.1502263470495,1404.710768935174,1560.5608930965393,1568.8600445984616,1546.241809596862,1333.4342893950802,1193.1678228214482,937.6859063815468,813.5857525607703,692.3287906971306,631.1169872467385,563.1831708046573,546.1118708567824,521.8579164552611,510.86325212459053,506.1693867145549,519.0053915854538,519.409609375795,539.1707772598018,547.6576145388879,576.5269321548784,590.3383931832983,614.8613135689287,624.9685205129049,656.9399273281588,665.603543334723,692.8361039709862,706.6053482831109,745.5772862973233,762.4270033537333,805.2607276867557,846.3856084250391,945.3979346247777,1004.4392528580887,1155.6042412483162,1257.9161410268828,1410.2276660490375,1518.5841583233778,1687.082373058493,1818.908075305967,1911.818411530366,1918.8826242231307,1873.7376411402126,1793.2957083829197,1586.0294610277608,1415.9695419305594,1250.614988944421,1120.2885661586422,980.2945721969184,898.5482513707408,851.4437559080873,817.6485462578438,810.5833509665288,784.6896135314785,771.3367071839333,755.9954183579781,772.9537793600325,771.4615204417987,759.7365641901217,753.8423313795122,686.5007311403442,619.8064744104616,515.2358660400672,441.15462196138077,344.6152361286541,278.5377677516428,176.19355604929768,114.42165201285015,50.52517028756448,9.975601061587982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
