Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,18239.675999999963,586.8548000000001,5432.533399999994,5418.679599999978,4336.79199999999,1692.8796,771.9366000000022,5.0624,14.9866,31.39080000000001,56.95100000000005,75.95980000000007,91.2760000000001,138.04719999999998,173.1809999999999,222.6437999999997,278.4005999999997,358.20739999999955,421.77459999999985,527.0025999999993,573.3221999999994,618.1525999999992,607.1725999999992,581.230799999999,485.9409999999994,414.1661999999993,344.5189999999991,303.7441999999989,251.29919999999896,229.9989999999989,221.090799999999,214.08279999999905,207.13259999999917,203.65259999999915,207.7647999999992,210.53879999999918,208.46099999999925,215.54459999999912,218.1903999999992,216.8575999999992,216.08619999999908,220.44719999999896,221.680799999999,217.44079999999897,216.07999999999905,218.80859999999905,225.52379999999906,217.8091999999991,232.90939999999904,251.1433999999989,272.39179999999897,295.57479999999913,328.3925999999991,351.772599999999,386.90059999999914,393.87119999999913,401.943799999999,402.53059999999914,409.1077999999993,377.1345999999992,359.0137999999995,328.9551999999995,301.5943999999995,257.12979999999925,222.39879999999943,195.22099999999932,167.52719999999962,141.51899999999975,124.01620000000004,115.15060000000022,104.96160000000046,96.0680000000004,91.52520000000042,90.1202000000004,87.24200000000035,87.51140000000035,84.77740000000034,83.86280000000032,85.19220000000027,84.14400000000029,78.98820000000023,82.47940000000017,70.88080000000011,51.0648000000001,35.60440000000004,22.3686,5.0626000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,23741.795999999926,646.6011999999992,6414.084599999983,7390.500599999959,5877.675999999983,2372.199799999992,1040.7338000000054,7.060400000000005,20.685799999999997,39.954400000000035,49.288800000000045,93.44979999999987,109.99479999999994,141.86079999999976,184.30639999999957,257.94999999999925,319.24919999999923,389.32439999999895,505.4825999999988,591.7823999999988,678.3009999999982,692.9713999999983,730.1175999999983,666.4303999999981,613.6657999999981,511.0671999999982,457.7425999999979,391.97879999999776,350.53359999999776,308.6067999999978,296.49059999999804,286.13779999999787,274.607199999998,269.411999999998,274.383999999998,276.82939999999815,275.0221999999984,285.02519999999816,289.45819999999816,291.5563999999982,292.66319999999837,299.6717999999985,289.91179999999883,302.9859999999988,302.4845999999989,310.55519999999854,320.77159999999833,329.4943999999985,332.6157999999984,356.8219999999983,382.4819999999983,395.60179999999855,427.2673999999983,487.10779999999886,515.0307999999989,523.9291999999991,543.120999999999,579.1373999999988,542.5957999999983,513.3673999999983,485.7159999999983,466.52199999999834,398.2793999999984,353.73619999999846,309.70939999999865,274.86419999999856,225.9319999999987,194.69339999999897,171.72739999999928,161.85839999999922,150.44459999999947,139.47059999999985,133.65660000000014,131.20960000000034,124.89740000000064,117.28900000000077,117.92580000000076,116.22640000000071,116.9528000000006,114.01740000000059,106.44380000000052,95.9608000000004,91.5840000000003,65.56440000000026,45.91560000000011,34.0450000000001,18.80880000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,60705.019999999844,1618.2129999999956,19007.78659999999,17289.164999999903,14557.320599999981,5814.78179999997,2417.7529999999965,11.611200000000016,30.00440000000007,46.71060000000009,96.40860000000015,191.8403999999996,262.0523999999992,402.0307999999983,577.554599999998,813.8677999999977,1013.5179999999983,1352.8501999999985,1602.456799999999,1853.349199999999,2026.764399999999,2051.1949999999993,2007.5176000000006,1887.1814000000006,1717.3728,1416.9488,1264.7645999999988,1060.3807999999963,913.0657999999963,770.4109999999962,753.2153999999962,731.3025999999959,683.976399999996,663.4375999999953,692.959399999995,695.4971999999947,677.4169999999945,692.8373999999948,691.6979999999951,662.7045999999957,641.5973999999964,645.7217999999967,655.8571999999966,652.1051999999963,651.4669999999965,669.1767999999961,693.7615999999957,684.0325999999959,720.0317999999962,763.5549999999961,822.9553999999965,867.2089999999972,975.760999999998,1063.277799999999,1160.6641999999993,1230.6949999999993,1372.7568000000006,1394.6647999999993,1425.2503999999979,1391.8503999999978,1369.1877999999986,1208.2747999999972,1097.7285999999967,955.7325999999972,810.5399999999977,653.2195999999963,553.2171999999966,461.6143999999971,397.55899999999724,369.52899999999715,345.6407999999974,321.04519999999786,316.32539999999807,316.8081999999985,313.55039999999883,313.1279999999989,304.8193999999993,293.60679999999934,281.8081999999995,272.85839999999973,229.96059999999997,208.73719999999986,190.18719999999996,138.5559999999999,85.92739999999992,62.7403999999999,35.42339999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,69351.76699999976,1650.098799999993,18712.43859999997,20560.727999999883,17851.82099999997,7371.707399999953,3204.9731999999804,13.168000000000044,23.952800000000053,53.00920000000005,112.76419999999972,185.15439999999933,266.81619999999873,415.8027999999977,579.4311999999973,781.7153999999972,1065.5835999999981,1318.3789999999985,1613.8145999999967,1847.6003999999966,1959.8653999999954,1987.4637999999954,1947.331999999996,1832.1941999999985,1627.5011999999988,1465.0215999999991,1265.9673999999984,1143.0635999999972,958.5307999999969,881.3475999999962,829.2913999999963,808.5361999999957,771.5797999999953,756.2843999999943,799.9193999999941,811.4247999999938,803.9019999999938,827.6855999999942,831.3537999999946,803.9657999999953,788.1761999999952,794.8993999999957,771.0027999999962,811.7211999999959,821.5071999999955,839.8133999999951,874.6207999999948,901.7015999999942,910.8319999999948,965.6795999999954,1053.8885999999948,1105.1261999999963,1186.206199999997,1278.545199999998,1453.218599999999,1523.8246000000006,1623.5971999999995,1699.3817999999994,1793.6237999999978,1683.606999999996,1597.038999999997,1520.5383999999967,1387.1129999999955,1166.248799999996,995.658199999996,866.8789999999956,697.5101999999957,590.0577999999963,511.7233999999965,473.95539999999636,440.5451999999959,407.51439999999633,400.53359999999634,407.0947999999965,413.9865999999967,425.7847999999965,421.33639999999616,405.83979999999633,385.69639999999674,345.6741999999975,297.31179999999864,265.88199999999915,240.49259999999958,172.93439999999995,124.29179999999994,77.00799999999998,42.720999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,80044.16099999972,1891.174399999994,20493.10559999997,23140.870799999877,20616.720399999977,9229.223999999947,4673.065799999976,16.17800000000006,28.319400000000066,63.46120000000007,118.2436,213.01899999999932,308.0091999999988,478.8321999999977,665.1117999999977,903.3843999999975,1138.6983999999975,1468.918399999998,1698.3835999999985,2029.8781999999967,2150.4535999999953,2237.3205999999955,2131.492599999997,2081.8657999999973,1771.0233999999987,1553.0967999999993,1328.5897999999984,1191.161199999997,1008.3075999999963,922.7651999999953,899.8103999999955,885.2713999999951,853.9329999999943,868.0909999999941,881.1303999999947,904.3429999999944,902.138399999994,925.4931999999943,904.9889999999948,924.2151999999953,909.2991999999948,920.7761999999948,942.4539999999948,943.4505999999948,952.0411999999938,972.8023999999948,1013.9631999999954,1003.8851999999957,1064.9883999999952,1124.8667999999948,1220.694599999995,1288.7285999999956,1434.9273999999964,1534.7465999999986,1659.5334000000007,1814.5978000000007,1914.4800000000007,1947.4556000000007,1976.6147999999985,1991.5313999999976,1819.6031999999973,1687.9047999999975,1546.5967999999973,1375.0187999999969,1134.290999999997,995.8349999999967,867.9645999999964,748.3791999999955,663.9021999999952,612.1639999999953,581.8113999999947,559.1145999999943,533.8745999999948,558.8493999999952,598.0191999999953,620.2313999999952,608.0687999999957,629.1419999999956,587.3433999999963,509.5515999999974,437.01299999999804,384.6139999999986,326.9317999999992,235.1293999999995,169.2481999999996,107.61239999999991,58.17979999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,92993.59699999978,1601.8783999999935,16701.588599999945,24861.66119999989,24737.0024,14624.33739999995,10467.128999999975,0.0,28.405599999999968,62.79700000000005,109.30180000000007,193.37699999999944,291.0789999999988,387.34879999999794,529.5691999999972,706.1383999999961,902.3039999999962,1143.9743999999964,1349.0517999999965,1619.7153999999948,1745.6525999999944,1811.1671999999944,1741.6105999999945,1726.4755999999938,1478.6123999999954,1308.5407999999961,1168.3453999999954,1074.1635999999949,921.9257999999953,871.8167999999935,849.8023999999938,821.9441999999938,812.8047999999932,789.597599999993,846.8507999999939,888.6081999999939,898.8879999999934,927.9449999999944,974.2515999999944,986.8349999999944,1002.2777999999948,1023.9907999999944,1066.366799999994,1103.5143999999952,1129.8983999999955,1160.8349999999973,1226.1349999999993,1234.4774000000007,1321.1737999999996,1402.7011999999993,1524.8567999999984,1615.4003999999975,1710.9203999999966,1792.6129999999991,2020.7568000000012,2114.2516,2207.525000000002,2309.986600000003,2450.516400000003,2285.3115999999995,2170.5918000000006,2099.3099999999995,1959.8187999999984,1692.023999999995,1537.0817999999958,1414.1759999999952,1252.0521999999949,1160.087199999995,1097.9727999999961,1060.8589999999958,1052.9467999999963,1009.737399999996,1028.3719999999962,1097.2411999999974,1221.7869999999975,1291.2431999999985,1346.6441999999984,1337.3149999999982,1275.5133999999969,1141.042199999997,958.7085999999967,892.6565999999962,732.5353999999971,591.0935999999981,403.0847999999992,300.78759999999926,129.24200000000008,67.26240000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,99085.30399999963,1942.6997999999915,18033.77539999993,26080.97759999981,26356.81459999996,16093.422199999926,10577.614399999962,0.0,26.29460000000005,63.91140000000021,124.11520000000004,215.61759999999938,348.2597999999984,496.1261999999971,668.3749999999961,945.0751999999941,1178.8701999999946,1358.0107999999946,1524.1849999999945,1753.0119999999924,1776.7395999999944,1809.9257999999945,1835.0415999999937,1739.842999999995,1555.4425999999953,1372.664199999994,1184.965399999993,1031.3709999999921,956.6547999999904,861.5935999999887,853.7739999999887,869.4751999999883,861.0717999999882,882.7813999999883,902.2579999999907,927.8335999999903,937.6141999999907,969.7151999999904,971.9563999999913,1034.8049999999917,1065.2047999999922,1102.5947999999921,1139.9827999999927,1178.1001999999933,1196.3665999999935,1239.835599999994,1284.8963999999958,1299.0039999999956,1393.3487999999952,1497.550199999997,1623.1891999999973,1749.0469999999973,1888.2647999999986,2062.997199999997,2188.5499999999965,2278.5019999999968,2352.704799999997,2505.7013999999954,2467.6517999999965,2375.831999999997,2250.3713999999977,2223.7735999999954,2013.418599999998,1878.9409999999966,1755.0747999999958,1666.3639999999937,1483.254999999995,1376.1369999999938,1251.1089999999938,1194.603999999993,1130.2527999999922,1089.5015999999928,1046.4007999999922,1082.1847999999934,1139.5973999999935,1210.548199999995,1212.0253999999961,1307.6715999999965,1292.668199999996,1154.9505999999967,1028.3029999999962,972.0753999999953,763.1035999999966,612.2183999999975,475.1375999999983,324.2879999999988,150.71839999999992,73.90600000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,95543.96299999958,1762.0849999999887,15772.550199999943,24828.0791999998,26349.63939999996,16076.98959999992,10754.619599999956,0.0,26.347800000000067,36.57640000000007,84.89120000000008,207.78239999999846,301.043199999998,465.07299999999657,640.3709999999955,832.6927999999947,987.7669999999953,1169.3627999999958,1331.8217999999945,1465.5799999999945,1608.4157999999939,1599.0851999999954,1612.9331999999945,1493.6473999999967,1406.1331999999966,1186.1059999999968,1079.0049999999949,955.4999999999936,876.1203999999924,796.9165999999911,790.5195999999904,791.6987999999907,802.8225999999904,819.5517999999902,835.643199999991,867.7185999999907,892.8751999999907,913.7253999999904,966.4047999999901,983.37279999999,1010.5085999999897,1049.9725999999896,1087.0247999999904,1080.2985999999912,1155.4963999999925,1196.4979999999935,1238.8701999999946,1318.5079999999946,1365.659999999994,1442.3181999999945,1590.0539999999958,1721.7607999999966,1882.4927999999961,2033.4129999999973,2170.5165999999967,2267.082599999997,2435.566199999997,2427.0111999999976,2464.989999999997,2409.615199999997,2342.592999999997,2155.527799999996,2039.070199999996,1903.4511999999952,1775.3625999999945,1608.251399999994,1491.792999999994,1382.6495999999938,1276.1909999999934,1195.3951999999938,1139.1241999999925,1088.2505999999921,1042.106199999991,1061.2015999999921,1113.2129999999918,1182.6729999999934,1195.2961999999948,1279.8639999999953,1272.6639999999952,1209.3213999999955,1079.3063999999956,970.590599999995,822.0675999999962,671.9561999999972,472.9607999999987,322.35739999999925,202.95099999999982,72.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,98347.88799999958,1997.7069999999871,17571.870399999945,25550.469599999793,28433.894,15646.66019999991,9147.286799999943,0.0,8.784600000000006,41.34519999999996,99.67599999999977,209.66439999999864,365.9143999999976,531.2711999999965,741.0511999999948,960.7495999999934,1146.2951999999934,1369.608799999994,1540.6319999999942,1644.2551999999948,1791.5081999999945,1784.3961999999951,1721.2567999999958,1661.1761999999976,1515.7673999999965,1254.8889999999972,1181.3357999999955,1036.2029999999936,908.1357999999921,858.1445999999913,856.3305999999907,806.7539999999906,814.9341999999903,828.1717999999896,844.1867999999903,869.1113999999901,859.2171999999907,915.0561999999907,926.3545999999917,1004.9129999999907,1035.1867999999904,1106.0269999999894,1108.7379999999896,1150.0619999999892,1170.4891999999913,1208.9827999999925,1274.1245999999933,1293.0931999999934,1436.7767999999915,1534.3757999999923,1705.1001999999976,1853.9841999999987,2027.438599999999,2107.8498000000027,2262.611600000004,2476.798000000001,2580.8876,2632.45,2695.417799999998,2730.650999999997,2483.4813999999983,2320.364600000001,2261.959400000001,2065.8382,1784.9623999999985,1652.0073999999947,1515.2163999999912,1315.88899999999,1201.84599999999,1125.64799999999,1059.1279999999902,1011.0503999999913,958.3177999999913,965.0917999999907,991.6647999999913,1040.167599999992,1040.8967999999918,1112.3809999999921,1094.099199999993,1001.0665999999941,881.3907999999948,815.7087999999948,680.7701999999966,548.069799999998,418.4447999999988,295.06979999999925,163.6544,55.56699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),81436.84899999958,1775.5023999999935,14716.557999999946,20937.637599999794,22864.90059999997,13408.95279999992,7733.297599999945,0.0,8.702000000000004,38.94180000000002,91.12279999999996,186.07039999999947,324.22119999999904,469.04119999999807,657.4029999999971,852.5901999999958,1017.5573999999953,1150.7373999999961,1351.0355999999952,1418.6631999999966,1518.8883999999978,1490.2449999999985,1470.571799999997,1301.3415999999968,1216.3103999999948,1004.6249999999933,923.9919999999918,816.113199999992,768.2653999999919,690.9083999999921,684.7553999999919,674.129599999992,685.2377999999908,682.7295999999908,699.1283999999907,722.996199999991,751.7261999999907,750.1249999999916,809.9585999999912,824.5971999999913,860.0033999999907,868.7877999999905,913.6535999999898,898.4261999999901,969.6405999999913,979.0133999999916,1039.2893999999933,1098.9223999999929,1164.6925999999926,1212.5165999999922,1372.0205999999941,1472.869399999996,1629.7801999999954,1740.7167999999951,1873.9327999999973,1947.8151999999984,2032.8829999999966,2079.420799999999,2139.0241999999994,2127.610599999997,2025.334599999997,1978.0448,1817.4681999999993,1678.0890000000009,1536.8816,1418.9421999999975,1266.712799999993,1157.9407999999914,1065.2115999999899,971.7539999999913,935.8473999999907,871.7389999999922,838.7469999999927,816.5107999999917,850.5765999999916,863.3087999999921,902.3001999999913,899.7219999999916,891.6339999999925,841.4871999999938,756.1607999999948,667.636799999996,606.2615999999971,501.9905999999983,357.0173999999991,253.94539999999944,143.38599999999985,48.44679999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
