Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,2786.078733157232,138.59308392118524,449.64694525505894,1248.9772772285867,547.8572899938433,285.8983232026943,115.1058135558625,1.4937552898356656,4.058660310201529,7.811772981575283,13.196348534399721,18.556087663821565,25.027991399347663,31.92315515344168,36.52531258856214,38.80870335023715,39.844512745513704,38.486874835638964,37.18931810982511,37.37300205405594,37.504471094940904,37.484019099337054,37.860241793813714,37.27041072989087,36.111397772986045,35.06841177603049,36.645581892789004,38.18757038617464,38.93155898058032,40.10002821478464,42.848744483084026,44.90606703621063,46.18140143923245,47.53066899657746,49.740713453970784,51.93417443956739,53.194803041150244,55.58579375510654,59.08454912148692,61.615462122814385,60.857178405466506,61.24372651403049,61.06072445730506,59.461117800574065,56.791250128390104,56.613233561102454,55.915941205834706,53.73299024883153,52.17801888907806,51.22664936567377,50.05491118155985,48.632230489984906,48.462874057154025,48.19773564125075,48.516603138740074,48.17494929770303,46.63290849226042,45.242412882392884,44.52545688217882,44.035191560292674,42.70333899051768,42.17898488268783,40.55460367868021,37.77348061951663,33.090642050508926,30.310369271155114,27.341345472531003,25.03229246983114,22.496377482595204,21.49848816144124,19.591461839600324,18.359224990310363,17.534973276027163,17.137867894706257,15.731799674471034,15.286791036968166,14.563451754737804,13.837043038424024,13.160068070567212,12.74763656104925,11.619908222618928,11.234798692686628,8.934203623650598,6.2973019489753685,4.299796802129999,2.6427511464945734,0.4820626575599216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,3346.81685133287,148.79424620689642,525.5613586425037,1471.3442095648527,682.7527735679428,358.0972726950329,160.26699065564304,2.1632505107189863,5.2423787611677986,9.89217538818952,12.797275467312234,19.009490361752587,27.090585244821288,34.21509112257752,38.38399935035649,46.91511832955621,47.23281186923934,44.06569679275192,43.70378737439659,44.77266899586964,42.00923204443095,42.853539460294826,44.18954342685133,43.42872678975791,42.35742139126045,41.14387564766543,42.88893652042904,44.39270151474351,44.70796987762392,45.53151371129676,49.76942087019516,52.38134221156438,53.76264128225335,55.618085211530854,59.03489983034775,60.73770334039585,61.99546314350727,64.83135341332996,68.88488496097663,71.9249078153723,71.8462367666526,72.39370561955658,72.24503066530548,69.75059861260692,66.33026505205339,66.46128953077081,66.24612030527786,64.35549196159494,63.58018821746865,62.99708644112894,61.565309209299095,60.529546323482634,61.59871073613647,61.45297990452619,61.55310915715643,60.5702827915235,57.82398854943931,54.87633342887474,54.585791886120205,54.51177350178561,53.0213495862674,52.20918556483743,50.019722137792904,45.53540341703961,39.582649208930185,36.76827724495322,34.278749765985644,31.794849524971234,29.343926073752407,28.20205968768145,25.86710604443464,23.40029896611804,21.96331049237432,21.628239229946672,19.732403038845447,19.071902560318378,19.396371375736674,19.185921408518116,18.93787440894,18.733635155350818,16.719744712377384,14.880057184841599,12.828227725535822,8.747444418142429,5.822802540949185,4.099246120421505,1.843763044511108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,5533.862117257711,209.6916664018027,740.9310177486691,2394.572312769222,1280.4379573639264,650.403124781823,257.82603819226955,4.772999338154519,8.58590501634364,13.753492527085912,18.22350267040558,28.0520051666819,35.99270575409405,46.4861828564285,53.82487307260864,62.699346503354796,63.35492642368618,61.45590656556385,60.06053670174774,61.01824725050074,60.112648420367464,61.482609858680064,62.30020203326546,62.10898196240244,62.082493923642495,61.1249810508146,63.13013705464322,66.69845376494823,68.33189000922964,70.44078286934513,76.82475586436406,80.55534683091146,83.16554249975229,87.69767279897934,90.94804675581429,93.53261098746731,97.39260473889105,101.44416332000336,106.25280983081959,113.34182328791188,115.5655901504077,116.97890000410266,118.40980451370169,117.0717296977936,112.97497972017145,113.6212565133975,113.6674247463558,112.40151864330616,112.30430650787427,113.37547442870363,111.57482428497109,111.83783505907671,113.01290752984609,113.87435874108648,114.59742435019055,115.5628412998107,112.41816342444721,109.00177460636291,105.19614519935872,101.48683125434273,98.06848299732151,94.97062311539364,90.41056978668922,83.49951238982618,75.0335163315373,67.87421913200265,62.02918305321172,56.62048160292756,53.203512261854456,51.07435790657197,46.38826563409667,42.380684595509464,39.82607846782743,37.86209100269299,34.61122240376465,33.90630775963061,33.3343398399885,32.080528909477074,30.70311583656931,30.167162522290567,26.047517425891986,22.297768014031764,19.17878611562289,13.533672638535865,8.041694847060862,5.645272757238617,2.8898715259315213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,5902.35354468956,240.61781096829097,775.2506067647296,2525.9183527548557,1380.201950146128,708.5380359776017,271.82678807795156,5.413196673502879,6.860234542085422,12.024027544441935,19.7812727454456,32.15839571934275,41.23828423834746,56.93139499141787,66.21100451370705,72.8093916423751,71.3188551929684,67.60263343627703,63.269212310718295,61.87401053302883,59.89464999304766,61.036556583275825,62.47091497589699,62.81388720767276,63.827454710403345,63.10504142776382,65.2279987513015,68.44791708285078,70.1726448470205,72.12136261896266,79.00763646144594,82.80393851799658,86.21279066508,90.98454636560469,94.7542223281432,97.54906948316842,102.8735826836422,107.45611019395314,112.74011296430456,119.95111892716447,122.8557785718625,124.28282651236569,125.71549033419687,124.73775784685238,121.0911003740792,121.89329049864105,121.52308957766084,119.85812106578942,119.45238811165967,120.4189313666236,119.01452535578751,120.19947593761387,121.88256145056603,123.25693409727613,124.22904231384294,124.17450695136915,120.31116233511156,116.85615390174158,112.9854874268284,108.98417145505377,105.70121452655455,102.99221523699457,98.62902451317534,91.12218964047544,82.40537518086579,74.96414938985228,67.80148501495812,60.904572414346816,56.78928387770646,54.3992748124065,49.728617754728965,45.836623019461314,43.824062402136214,42.235237653310534,38.52716481735344,37.282736177874725,36.2181086195833,34.192135106636265,32.31796264649378,30.081482037659164,27.073537432345525,22.997411037871064,19.766740483414782,13.801434408484678,9.570965404175622,5.635290525648736,2.888984197763945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,6689.994005547869,287.80735903400523,865.9714247363631,2756.3697212177462,1607.7893511929285,850.1776137357347,321.87853563109263,6.0773047014403625,7.853878131907827,14.498035138448742,24.90101094142477,38.44251412615796,49.81205977413886,67.8119511950029,78.41060502548378,81.20781353802003,81.35447000761881,76.48033153880115,71.08731894346656,68.80444095122813,69.3467524651953,68.66032376616732,69.20025126004225,69.76300871367866,70.0516993261368,69.20163032224985,70.81338390375821,74.26060907636048,75.88354598569437,77.50337900133341,83.71804823827314,88.2940957460783,91.84371490190672,95.62643334063148,100.67561688991438,104.34828883614551,110.22351735652336,113.77274281158478,122.35066642861048,126.46800933284004,132.07816686560153,132.39830799130402,137.84098584642175,135.0860014038888,137.05420904561745,134.58057603407437,138.52487886502658,134.99953437744202,136.58690019759698,134.54834672449806,137.7031459203782,134.62071139810593,138.3425268652853,138.45303943180758,143.45372507340514,141.00358845928025,142.95606140148698,137.37863138901798,135.42099811493514,128.33023199782946,127.72090946361679,120.89173861853592,119.2171889796218,109.59529779832636,101.57728315801829,89.99552620384483,83.0467587735734,73.41890269570217,68.51029295061207,63.595324263471745,59.39117286363414,54.033368402113,50.892560834295466,49.15863450489852,46.962491287244674,44.35657997166051,43.604498376355764,42.791123253787426,39.65380683048119,35.48925610072033,32.11675181946952,26.795447482678934,21.670332803725483,15.157027138035073,10.57614779338359,6.328839166705217,3.3387248940895624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,7671.603406126422,249.5506681230463,850.2405990495456,3001.0885221396948,2062.645208342311,1121.4138121553137,386.6645963165095,0.0,8.466379704769436,14.653344172932016,24.033853992072807,33.898127507748825,48.285383418470275,55.20385378739252,65.00972553966042,72.96937817509068,77.1714308633896,75.00044595569392,74.24814034694253,72.53540326555539,69.24871351173904,67.76079527436193,68.66672111976902,68.39649155547743,68.50660145416582,67.16495765571689,68.5715198716435,70.8161736035222,72.42570872552369,73.37724799581572,78.32107132316406,83.88202511288657,89.8631341865584,94.92443100180829,103.76111833679859,111.13481621469471,118.94365865565756,123.91585370679144,135.8147802777707,140.62545505386396,148.300647882911,148.4790696264923,154.71469655526658,150.93024597959283,153.54263619716357,150.32163820956663,157.07000870038272,155.0183621277453,158.85542257302566,159.0745128007257,166.9758072919663,165.3552533128711,171.4115196481953,172.7358991234893,180.86692966508843,177.85203134945067,182.0660276619335,176.9294127153857,177.38846604815942,169.38159371864924,169.82173373404478,161.04070094039142,157.79564042465242,144.94205544365153,134.23321544764963,117.32969401918423,108.74095117923231,96.29104652972237,89.3684781626988,82.64780884785756,79.65842767785112,72.14640309964909,68.35217001478159,65.35728685299439,62.346274880041115,57.34781646927122,54.90823695717129,50.804761909452,46.5691573421076,41.448969592660596,35.468172916331355,30.589056375802635,24.903713058228693,18.69388429988016,12.309844256656525,8.371920802228644,3.6974160856698575,1.5516462510490137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,10894.464962868304,455.2624104333354,1557.273369744098,4508.830456197616,2508.2233673422184,1373.226241883008,491.6491172680286,0.0,10.806447471343372,21.06724351778816,36.266161649245774,60.13464612646372,89.80351234434795,107.55401328060832,129.6303860435381,147.8292507788255,150.25350953194084,144.46008864044055,139.06631374590913,133.43658388371009,122.11679509724985,121.86856815287445,119.78835919017763,121.92465770504586,118.73290071453465,121.20696934186985,116.58937296151964,123.04328612946331,125.00547849239115,129.3799478348235,132.25017158344892,142.95044088248355,144.3227057040037,153.43327354410576,161.89867418104964,175.19413780578586,181.12490310326268,198.33135539944408,204.38449862583462,216.47630607303662,215.52925132891232,225.82145948294732,221.462646039498,226.44531605419044,217.36236433534984,223.9485116479106,216.92286396190545,222.3147969810589,212.83550296303343,221.6721072722892,216.7204567713871,222.05673224924098,212.2188112808365,220.64700297379727,213.8394367933693,219.5326447054535,209.2813532052393,214.89777615837357,205.56424333563126,207.51676784852813,195.31361584766643,199.70713634752877,187.6478465965532,182.0373718845664,161.55814841847697,151.8766919514922,132.08857863572146,122.5136549735003,107.64638715815435,104.80688401447463,94.22643519512931,89.11931450119765,79.75044374199469,77.66626392283187,69.93606748546803,69.41900630118725,64.91595330504575,65.22932817534385,60.08253716026472,54.537133503426894,48.36197367156851,41.818705189347796,31.390436800729905,23.793684255952893,17.042040653797088,9.100918896527748,4.239454936941452,1.7179444178947822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,10320.389008928874,392.2870540087234,1466.2269789777044,4083.6623577543924,2505.848558935663,1378.2550079369018,494.10905131548964,0.0,10.923822992069422,15.686998976909775,27.481414922197327,51.4867975605354,75.47928072551123,90.78286429466931,120.44587453683089,139.7122692357112,143.27964769041583,140.5802121765212,137.98211184540673,126.01219497285618,117.96059145762787,113.01755455233877,111.44704306963318,110.33013623482869,110.69517917059929,108.1949395412754,107.01509903049029,111.37356730664007,114.14716316434463,116.72638838235297,122.01947381571988,127.0127114763868,132.06267169378174,137.63498841951105,144.75800443651582,154.564385822506,164.6545343339584,175.0709506435266,184.46847735735423,193.6646806697664,197.04346037506,199.5463328317686,200.2971724102512,199.5180463755791,196.0857937529157,197.00621169930756,198.9707529336296,199.8442407341527,201.0989455607445,205.63664033999814,210.45676321862047,213.87748896451458,214.95313565828826,216.76788324505387,219.4969211891701,219.0675406955624,213.33292667906937,211.67824920337037,209.31625473573126,203.3882580327938,197.402349044065,195.7596895535423,190.80786193450143,180.13208852177223,165.21838683265742,150.8131890488151,135.83420068333453,121.65296542115294,110.65427548780585,103.63781139284723,95.83456115299951,88.67874056401259,80.10701454306232,74.95359067702832,70.73818361141373,67.4446051620281,64.66928075421211,63.28669709026085,58.99344625664021,54.87042790443486,50.009928405823175,40.97322323958525,33.71879474491635,26.373706617235488,17.016057583712733,9.066118188455707,5.968820937980371,1.71794443020445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,11365.58231513256,472.0200945135839,1800.0853116685532,4455.849655656498,2637.150721023228,1474.9615273577692,525.5150049129282,0.0,7.57416543518483,16.485657004051046,30.604713247711715,61.131668581947714,90.42923291091884,115.63744047142319,150.1572168623466,175.88050368286275,180.58456420763645,178.9667865119379,174.84005321698322,158.6270552887992,146.36221898254556,137.68421182631693,134.76251451248578,131.8603145490029,130.0867681265805,126.2391520951989,124.19116866820336,125.88828768138431,128.00933345455365,129.96271704791434,135.35827084329753,139.91416617175338,145.2234112876276,150.54393236527594,159.89952200970362,169.72371487871575,179.55538004020772,190.31335501915154,201.22573355466633,208.413136284548,205.0767730372747,215.96619384954533,217.3099252195596,215.7518866931528,214.2024122216313,221.98295404146214,217.256734778542,217.45681707848652,218.67300101336625,222.20733808641643,225.9346589982612,228.12265641033818,229.074164112556,230.6798626385289,234.11017961129158,233.55234392043823,226.1566474139195,222.1062923042421,218.9232398221862,211.01688890430265,203.74447551579613,201.72115847127208,197.94281189835635,186.4315009135501,171.43581649635593,156.8869752812383,143.9498599438238,130.64414113377924,120.80724058416108,113.68183189050457,106.93697449935664,98.07736968886243,88.42154234160458,81.33599674005555,76.35227784447702,71.81997020315742,68.74150434436201,65.60794254939304,61.08300458534779,53.928959582420845,48.15011295672318,42.536228574073945,36.71128707120257,29.73975698907348,22.548685765168553,14.862650842471973,7.526950055707205,2.2579513938261626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),10323.31077257083,440.6117268366428,1594.8406136791702,3981.6988655850255,2425.203461482544,1382.4413604859492,498.5147445015002,0.0,7.57416543518483,15.930374532629152,29.1931057340635,57.78505943278604,84.85517807171314,107.0055736936891,138.26826993657704,153.02807148703482,161.02009550720825,159.77749007406956,154.812372156677,139.4547012372665,137.10106231748915,121.36996169652828,118.6196310914958,114.90572248446566,114.25786372856714,109.79163444609287,110.70200745227508,109.29898179236747,114.06193645918016,113.31455883037412,117.00876244220021,120.57466385618851,127.03540873359606,127.24638531854214,136.43286538306825,145.2162164798644,156.20817123583518,164.09253385412788,179.09659362334344,186.9511122960417,195.5008513338943,197.711008585025,201.14365877924251,198.23117472707352,198.92368375369483,194.3690747069262,195.1360839893581,196.12996022633283,200.77037834109748,200.48559273083092,206.75920810681959,210.54976392255398,212.9425983703017,210.21239796077046,214.5543310070164,212.81508046005897,209.97090574189048,202.5429792066669,200.4810885342032,193.5988445752643,190.25952187329426,183.87061321046937,183.405336620054,174.09421184505328,164.15274693023048,146.42511647540925,135.45693217566532,121.65165909281168,114.38046008752407,103.4114389586068,100.10445938454839,91.33001819056948,84.6392844921278,75.01444251052284,71.78059034287959,64.90147464022401,63.6123516618169,60.213086476622536,57.25045446710641,51.78575721147712,48.08017399772978,42.1461285190001,36.11038561088828,29.524796869732644,21.359423059641784,14.108340628516496,7.218389336996065,2.2039820217480712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
