Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,7085.024413203838,13.725299569701686,725.9469153801155,3898.3675081686815,1470.4424892443542,759.8224914158784,216.71970942510654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.725299569701686,18.128652613945192,27.45581099385861,31.251550715645514,42.92427349293345,41.59395077399052,50.56100074409867,63.95227429070072,82.3055923301787,81.60866466184005,87.99177110687414,98.41755160193522,99.75582205411465,105.11861060466221,120.83613948885191,131.3109473853897,137.58626323526616,151.40266583604048,159.91013510064352,171.29591659032678,178.3444517605542,190.1243052639639,190.53703480492825,192.71270935564618,189.8829458927256,190.7028096382544,184.90630918287152,182.02150565217133,175.41122195074314,173.48575428860372,166.44919505176912,162.07163367992928,155.2876944801887,153.71399366413476,147.1877312208301,146.4715885306502,141.59594550953605,140.819035854043,135.7569321355881,134.32303315446543,128.44345519362838,125.70211774057431,120.33474784647684,119.12487800628293,116.8170186626206,116.66990462879008,114.07255128184664,112.24484003662201,106.13397470341593,99.52395951733124,91.68009954286222,84.27844167230687,75.86307835484857,69.58768369190855,63.528861344460175,56.73558564716046,50.79046451998582,47.085357650160475,42.956956708314074,39.94307094879976,37.848931817740066,37.94011936944693,34.07714024838262,30.37665773803021,33.33207902895361,29.0368919934023,20.829526225060967,16.167874538231278,12.643985935573633,2.315434348025018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,9161.897614556341,17.707242844182588,932.6750034829597,5048.205356298873,1937.4479810936682,950.0805617184186,275.78146911823876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.707242844182588,23.69357140608044,36.421912645214,41.92271429514624,56.87804848465068,55.012983489965656,66.26172952388322,75.85088505453881,92.05341273856024,108.84165499145855,113.50239512302359,124.59578602117278,137.63990970926542,150.09484811973448,156.24575271504554,171.66578119709666,185.56556914329627,194.43820691891958,209.3100580242217,216.7315736621664,231.04838915463245,238.24477242190034,246.3579259671714,242.60155977832238,246.02428158196014,241.07049394831745,239.60698506427616,230.44691232486736,229.22021696748402,220.5025660414766,216.71123330387607,206.7935227621029,204.2654662184969,196.7493074306736,195.44876878298336,189.54774728448902,189.5134174853624,183.95192268996558,183.26654958791946,175.861159953034,173.67781726087136,165.93617945195234,161.94042208292038,155.78163175362982,155.18637675827054,150.21865700739357,149.56646416605568,144.1571564489755,137.90364393267976,126.75369028733047,118.14188252668914,105.97420163199892,96.23970818202338,85.86580782745051,79.22411872897717,69.25997507562674,62.31213933823284,55.97002640459095,52.07669729520459,49.94713948437022,48.31517493592367,44.60768223735241,44.824113351054365,40.015762627343626,41.863405912521046,36.49974975918014,29.707502257601433,19.874954913264503,15.517312532897739,2.870985527023465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,19106.088272545992,20.035475846843372,1546.0501928579338,10286.401354217818,4343.13391626197,2283.199084880044,627.2682484813914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.035475846843372,33.194051409130566,50.272497015584676,65.70888967940725,86.2147718927161,90.30281404726671,106.17689686531835,128.5246399977898,154.65401763138524,177.06583951041264,194.45971516687257,217.15256587609403,242.32349376595587,265.74713300471643,299.82960398301117,334.0255543694653,366.7709510898688,392.79039504443267,431.39800489146506,452.3754818478734,476.7948682227,492.1348670407173,505.425556672332,498.18808104199815,494.2240121775135,489.2967310841733,486.6359385725318,473.97715720226,464.3580415449058,455.7913010580079,444.84471965847547,427.6518963172466,420.9352498883656,409.7341791920266,406.7413632235092,397.87536503772833,398.85490205249266,387.64835591675416,390.42744930365774,379.40427393155886,380.2640736594429,369.72555954225385,369.65446199410417,359.27939861366167,359.6446946924256,350.8792053588808,347.1885775287958,331.61461613362667,317.40324958680736,290.00997324535285,268.5200162803389,240.1784524909832,220.1638864070721,200.5455684444222,189.95629054659682,169.41384822482755,160.02924807379884,147.50431416931818,140.6861567940881,130.72719399716888,125.46413620607665,115.30647188853649,106.67645895439988,98.30437177396674,81.37438577579724,79.04113134610789,60.217275761431544,43.70657134720416,24.783113006691607,17.858468627255938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,21970.56615079892,9.099762571847924,1523.9686323030483,11568.737976992927,5277.063811842749,2818.8011475122084,772.8948195761416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.099762571847924,30.629029862715765,47.84490453750139,64.75910746234865,85.6003403056949,100.61553161891193,107.92711410568295,119.34184491686514,144.9763987669496,166.6075381422925,190.61943332820698,212.46352665805455,252.5838625978241,281.8592898612636,321.46122341004923,351.95615641896376,399.53596253810014,427.1030015982493,470.5239014856217,493.49001523977967,531.4136410993891,539.3601078869538,565.562374036483,549.6784248598815,557.7101567242728,543.8399574167527,551.4461948496914,527.1874540307126,535.4368494597315,514.8730852218035,515.3198314297589,490.97365468665083,494.23527328195104,475.454578516554,484.9252198295871,467.3239352578913,478.06768785283583,466.89544383981536,472.8283795501053,454.8544771582463,469.39782206236487,452.5494601946479,457.259842907921,441.8599917947108,444.4369408550225,421.60420948339,422.53327403778894,390.2997224395732,382.5442475191628,348.88734427036803,326.3357309726378,287.0974039914218,276.3136806682993,245.03707433786624,235.68895157957616,212.65999062448952,203.2577447033353,179.93271147885346,173.67987022300176,168.78241574393306,161.12822891842578,149.30961261286163,140.16017661823486,128.06965908497403,97.09856446147413,92.79899895675429,68.96245617904387,49.392937207500836,27.40545723761311,19.69695721768484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,25346.152612590235,9.358589890740088,1662.19041638093,12579.88457074855,6520.687031732121,3579.7475433367736,994.2844605011244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.358589890740088,33.76730374551184,54.17503570890547,73.23649238576589,96.46375416993908,113.76003350811631,120.71418946533134,131.2855567268302,157.84161439628446,179.35650384209748,205.01056933644696,227.6058527534739,268.97351034222703,299.04275940282537,342.8778514301398,375.0465822272662,427.42995606142114,457.8559794808135,507.67932768637564,532.1317590795633,571.5088455304357,577.9332496317804,607.3343334895629,589.9213720417736,598.6918640274587,585.4867808197713,596.1869545598843,570.5442600134055,579.8394397870346,558.3616703884337,561.7771820072503,537.4824958651573,544.4340799696998,529.3671902735383,547.1708732787397,532.5677166125722,549.2120470836478,542.9234474917421,551.9654834952648,535.0274149563902,561.9669633152683,555.5127565046829,572.2904923375381,566.1905540097838,574.1050610175544,544.3908711141678,540.0315238139135,496.50786239468835,479.7746012811269,437.0653335066359,408.82795348959365,361.48823772688036,348.83718229422317,311.7617559501605,301.688781048936,274.3512344064022,262.45332421086687,230.8088697244341,221.7991288548333,214.75285451352698,205.91288761028056,191.34450171300514,180.33939022293808,167.8989840502585,127.98688584206009,119.26431264973664,88.06812938249128,62.920522321039456,32.9118189030223,23.549915416572762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,33577.61289424234,9.335072214770523,1584.1951264019094,13011.556506037212,10187.876852571986,6568.02895857307,2216.62037844338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.335072214770523,36.56273290209361,57.64200693180129,78.4142591614971,103.60964831201386,121.67490368606312,126.3207235609023,134.5731916915667,144.0684895300226,161.4378961821503,183.40890286394443,201.1426417265179,235.33972985333614,269.68061456086576,299.8719503237672,327.24695786883615,372.3696009636615,401.0480412071742,446.0700137866368,473.6613274726329,509.5842631756775,523.1485616574789,553.3036359613312,549.1205050779894,574.3591707104739,575.8156558627983,594.4467856556703,589.787747482451,610.482696441951,606.3738669579436,623.5727057862014,626.1308482374932,650.1712447171649,673.3930205635253,700.699395492897,713.6952240979324,747.5226719746594,763.6325250798308,772.0919936344177,781.0940136211927,830.1646211653018,866.0450849137469,902.8273366513916,920.7759368932747,948.9526646088217,918.4104924585614,878.937607444898,817.0933081047508,787.8512679957963,718.9203743474076,671.073922523364,625.456803406845,609.4039733909907,566.2257709389754,545.7607829618659,522.7093723632993,490.498332025017,466.2004139919069,453.4976093834024,456.3083337142886,441.97326952570717,428.54591354667593,416.5896851597039,383.23571383674033,308.35802204416285,254.60821501265045,198.39427083280566,117.90973862506547,60.614687043370935,36.11513209884736,12.249000243357415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,37795.18001232885,9.26223120880388,2282.7964714829727,14550.682494513223,11414.469510212142,7186.9977498692315,2350.9715550424935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26223120880388,24.97341753566754,60.0216980701773,90.32026591208084,127.9653536615053,158.75501623590966,186.74207090442542,195.61204867036344,231.29103246998847,258.26906666115343,290.12516985438634,308.3938966433585,350.3274348639565,366.64385197658765,396.8001577066137,417.099276563168,462.9960608602863,481.6036592661335,518.0358105939894,535.1564830596958,559.758050683986,571.8037102770412,598.8213662964166,600.7316266009096,626.6103805488193,643.0158518675586,656.9948688898966,652.4196674788689,673.8747137990083,663.5371783039644,675.1795417264748,674.5932743614206,709.5730171314315,720.6912192163368,759.6584262781314,766.3326976308814,818.7516033956035,832.0799506343983,858.3180424595503,866.0384253193771,925.0810815459688,948.8076774497247,991.8759010642904,1015.9835934942604,1061.887943360979,1039.5271526156127,1007.8268093797104,947.0284053794941,920.0145275087747,830.6663959505632,776.0818040753087,716.1046170663511,690.2306773172693,621.694707901044,596.1270673975272,552.7382638885058,528.8917651205902,481.6853690842399,474.01107917815597,458.5704208849974,460.19558200467856,441.0134961497956,410.9140731341717,366.0830735566935,337.0083476184094,271.394207027814,211.14273443190154,156.842734074562,101.34245779839328,40.740355714036326,14.490075536716144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,36978.864751319816,9.383375876202356,2073.222093051937,13855.19916274182,11301.536438760857,7309.699603889416,2429.824076999568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.383375876202356,24.95100565161622,58.510051420523396,86.80935959774494,122.09629370951572,150.25000436757009,175.88291636777763,183.97692082180612,202.74033808406102,228.8393621371072,252.52558579280998,276.3797432076624,310.26051189374215,338.75705542726837,368.5602980838698,397.0833934615139,424.41849988314186,454.8820877483337,487.7926398481562,504.47842718377984,528.9517081505621,548.9426726341121,561.0875111560717,578.5222639693037,596.6007641081095,606.3476102264173,624.36865972266,634.1377370282219,631.8762427431117,639.3447504749216,647.1011110303036,649.4823358597409,669.5189719367191,701.0777742195728,721.1336137745619,753.0221161469659,787.7109179243993,814.6434005168459,837.2337786586028,864.1300872540421,885.61517327839,940.6765156816423,969.3791258377832,1006.4249783243108,1041.4199931300277,1049.5515939119687,1001.3567606523396,973.2909698511743,917.8140616637307,846.9118022208609,779.9378107211955,735.521425352481,682.2014996056139,641.3284805132133,598.2754454976867,575.204433983444,533.1357944114993,498.08959160881625,479.1657923803107,463.4126853558387,476.5148422384557,462.89135798209685,429.71627013310274,385.3926114531383,360.04317359849784,269.9635510964848,210.05434493279057,156.0783007052059,100.83757338143458,40.526253735140976,14.320639981676084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,36891.75677400522,0.0,2376.715245815849,14355.802861490616,10843.035200532784,6966.975296101174,2349.228170064803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.638736828811552,36.39051739564721,72.7222778336434,110.8546261880767,154.48718367558035,189.6014418798483,219.9426399764235,251.5346557932792,288.51545011642895,316.950221921692,345.6946954877848,377.3827987186329,395.8451723848735,417.2780675711619,444.4271766047199,467.9297334126106,496.7991958797246,527.1167723997713,545.6483902293293,568.2370478762354,588.5216600315155,598.106318563601,611.2817384035753,626.3294636517053,629.972221646161,639.7561317990571,644.2399556348138,638.3238572430879,641.3546724155916,647.9793818221664,649.4150340852804,664.0897241823836,693.2515232020287,710.6731522575127,738.9777999108908,770.2486702828185,797.5696122804013,816.763760817362,845.576936353266,863.0389437156398,907.8665036859766,928.6365521726443,960.195607687862,981.5283453405065,987.6409586459088,948.7228434452844,927.5184304663683,877.9767059215642,818.715983247225,754.3201759043443,714.5446976686052,661.474433445345,619.3776895523896,572.589303362701,552.5495572166806,505.7679608251623,469.23901840518073,451.27984971434233,431.9342758677919,415.1823508914047,398.81892642390574,398.4953123427192,358.4763611622702,316.7153560577627,288.936721935467,238.82431894438432,158.4668453371593,104.20538268499504,70.63733214198582,15.651613034153776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),31086.215570284643,0.0,1904.4188850011258,11922.25997393481,9169.545903709091,6020.518105345184,2069.472702294437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16734240947024,31.91830840690721,61.48756674445274,92.58105237604146,128.11833269164592,153.284618111214,178.2862750691501,202.20625224422932,229.75989234652562,248.1971968382581,270.89626958507495,295.51577817815615,311.4118649734554,326.58737473246345,352.4069059370292,373.91182798434374,395.5596255097151,417.898781021215,434.6534772992437,452.30115333343497,468.4795762135717,476.2362665947789,494.32385704980726,516.6061386136937,526.3151453683195,540.4335468591281,552.8792073390099,550.070282096794,551.9636997392112,556.7904803646328,556.7387967801918,569.5921840806477,593.5767244982991,609.1110527739919,633.4887910716775,660.9232137001552,680.3358530877056,695.6378814541148,717.8815319864799,734.3280635857727,768.2360851969557,782.5148135593793,806.3275841422877,823.9337624562372,826.7435949265317,797.9060682541177,786.5543852699782,749.1462797895337,698.8515871877366,645.2084861797788,613.2330143758564,568.4616298842415,532.6288203839663,494.8927955647368,480.2656059693649,439.2722236146788,407.9978764572937,396.33721638051713,378.2725814149612,365.09626793205217,349.8476849348268,351.29044334700035,314.46853540529236,279.97644916220816,255.34451232952975,211.91284603734505,140.10046727296668,91.72146787296532,62.17171840339971,12.638577528902823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
