Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,10981.236928317408,341.8868995924797,3157.231725640702,3262.1782521120713,2770.8176213290767,1056.7615851592552,392.3608444838209,2.752314860489862,8.580862307066974,17.4286618982118,24.93898417800563,42.164099960339854,61.87928745215346,81.61203925848758,102.53064967772457,142.54201211409975,168.04338848277175,207.38747567164035,254.74126673860087,307.4159599324773,338.9167419348651,359.41085723453966,353.69460184282053,323.3777895393842,279.47638836783824,229.24591680282413,192.9793269788401,165.1902744605599,147.7042020651435,134.42396893623086,130.60303621590472,130.16274091501802,127.01012849318472,128.3222689874473,127.86729266249205,129.96870638935394,126.53106192530326,128.9475926592105,128.56607212773886,131.72940543771736,130.4160147956051,133.5060585755325,130.68232346136978,131.43574965266885,128.98059099537042,133.03146601008393,134.20265852924715,139.65958677358816,142.0421802386864,155.70079250057,165.49407930404473,180.10465407266548,199.15349197364142,227.42489968475547,246.54130716996517,264.0313433427704,275.92219268689166,274.2830911131045,264.1824634298569,244.8857011956101,221.4243563373726,197.51280162128216,175.35131870116078,151.38212072088905,132.50352090339314,115.10631653866928,100.81489725212313,91.61262953192845,79.62254473232836,71.7574907377444,67.23868917631043,63.06065244351944,60.18533828613643,61.87017036308834,61.60721447312465,61.11361695801741,60.24858524056766,56.17928607940739,49.97950802727355,43.77362688334063,37.023214233568616,30.918571109838467,22.278644303085052,15.403247790065107,9.624813891670556,5.152891331985557,0.6648386350009392,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,14952.158814677832,430.0092679801687,3836.9628050163446,4576.332126163717,3983.3606988920938,1545.8539658479222,579.6399507775863,4.479706398258601,12.923356331605065,24.808531474601086,34.93247869338902,57.19666083029325,72.15701356834225,97.45406625218534,126.05745443149408,172.2300476219827,202.19080898645996,257.2386081917556,312.5854725866926,371.1215946399923,407.89188265728296,433.4911187892012,427.9388587372956,394.3480560800901,335.14711895470316,281.19983150534017,241.57940626554816,210.59596805431568,190.51831904511158,184.5675434515104,179.25495342207626,177.0306491507497,173.17797260673782,173.52792636846726,174.5381619145707,177.55916718365052,174.73461522607067,177.03885001052512,179.1213099143658,182.0583453728624,181.26331709039508,185.14085854652603,184.59554456208562,184.18629086152797,185.67592553893195,193.75796923604156,198.35098504931773,208.7855390625896,216.2992378867921,231.74371986470908,252.80895674378684,275.9241876435646,299.50377535009136,337.5206850709807,364.1504044845874,379.4783927130631,388.2393045986518,387.2074160441739,368.9345505405822,343.6021294059908,311.3127435799853,280.75920456980185,246.72790489062095,215.47960692361733,189.3763417361989,165.93739299979842,144.91614834217654,132.31554352158224,117.21135181880982,106.21776341336373,99.39699316631798,97.70164170527731,93.51398772465159,93.0276210420009,90.75957345412758,89.17360538670349,85.6553654584755,80.22691384307356,75.29539682452958,66.57924207083617,54.363053063558034,43.4367894440168,34.92816036946712,21.9985153882084,14.027912727086873,9.870977872195207,4.084018329435491,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,45453.035869014355,1030.0935337523933,13996.372865800862,12384.058148420589,11407.966203110303,4685.554049788718,1948.9910681414756,7.214735531116486,11.08002994203785,28.77578011312758,55.02347491105749,108.55806197317855,173.9750848780294,268.20461123549137,377.26175516835474,580.5551024893542,740.9252021417743,997.1817500172673,1261.0372616632105,1492.5087020603628,1603.9361131955984,1652.2472855376907,1538.4095934478796,1355.4600646697568,1131.8780118666216,902.0337577683124,740.200020943033,645.971387739831,567.5044574592736,534.2384338660563,524.2954033130457,522.0468177232409,496.5647601579813,499.6300990106574,503.4158098910505,503.0127714760257,494.657250725261,493.13029064700476,492.3286568697116,485.02341934540993,474.63056608270205,479.5582845483939,479.5633169730815,470.14274855421684,470.35177606348464,488.5292294225718,504.65707877021345,526.2057014805879,548.0833871141599,581.1248920256908,599.391609160936,676.2728481231984,748.303470970371,845.6337814005685,938.2356096084344,1058.2614939469145,1100.0269750421458,1130.8734095110185,1123.6725927667703,1081.75760278214,985.0643320132396,905.3540934765275,814.5099934689733,693.8010776724108,587.1752391268934,504.75118376723975,414.84656863505836,351.8939000133635,318.3809336810499,301.279576366801,290.7028233316615,295.43409701650364,294.9950468576132,315.0621343020676,317.23146901805467,317.0033330365062,314.7758507219744,290.1336578183583,253.17221313208427,223.969715853126,180.60677335807486,131.45047207289156,101.68107429039041,67.41312432940062,36.37938064725943,22.80920652962729,9.596266351782056,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,48255.40350444957,1026.454661148341,12935.264255948052,13050.56160303671,13354.707895252506,5425.594822170671,2462.8202668932818,7.24950952725482,11.912732347478466,30.217625693896764,57.43432387787158,113.53955439619348,181.65108655595387,264.0712466138754,360.37858213581666,529.7761247661799,676.4311953194474,878.5788748245903,1123.399500880534,1340.9356586929855,1461.4225692548114,1511.04634919428,1440.2948342436862,1282.9802516330365,1085.7894619314716,875.5295857849902,729.0798494220379,632.0257025669222,561.3469805129448,524.0781174990419,520.5633263169523,515.8683955659403,501.80322504159363,499.49583250820814,509.890181798998,513.6242496691434,512.9351590566464,512.2261677240076,519.5318728919517,517.7669624796309,508.2028971383052,509.2906241299479,515.2801332114749,506.8136916214736,508.1215403200451,530.8939073659415,549.9072333826241,581.5843479894028,614.3693719963,655.6885466223404,729.2531356268727,813.24291347528,899.7021796008985,1013.4220432660344,1134.9736895685228,1218.487434243527,1281.5270357956465,1321.6090593752247,1310.1195269433665,1245.269046585817,1150.1880749999964,1051.79211581796,914.3747755802307,779.3249174320184,661.4405487095167,561.9499469628499,465.71923893155366,421.3047639731428,384.43221637920476,363.30496671293963,345.05281781318155,347.4545210607383,345.61631305086195,366.48951217437315,383.5050589702894,393.875649411443,386.85571411056185,368.1855157418732,333.18221120818,285.4557777660349,228.80859414552884,174.45271572771907,129.59421188279399,80.18879248093229,44.26493540256424,26.018063512316388,11.938085503334825,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,55051.69100041374,1111.6371369844815,13947.6843969701,14661.603246445336,15022.984340024197,6771.440361739441,3536.341518250199,9.243842131703484,15.029957303260524,35.88633971462319,60.12803966105764,116.27378012172916,182.04390964750667,294.93298092654635,398.0982874780545,582.9567582094946,747.1397671498466,967.0937010184717,1201.5009520184194,1437.1441051377194,1565.6432417089973,1617.6667512619306,1547.2222867123153,1381.0273702729767,1165.1068546522038,944.3787315256194,790.8038773021046,687.1258064865625,614.2225717563073,577.5526096083423,572.9199901300832,564.9378597481767,549.9112400155071,548.5020537651876,559.9121086969732,567.7927137842812,570.2558579346424,571.2303804578164,580.0398531045224,582.0018843087557,573.509088290411,577.5181935434334,587.7275669080967,584.5334391694737,589.1782043191931,616.2457698853086,637.7096239800849,673.5536801717334,710.1869884529633,758.9017014388088,806.1340604886708,887.6148326777386,977.3725821424796,1093.6117441192239,1226.6921021901096,1345.6459832774424,1440.5234470554542,1485.886859710031,1493.933413413679,1427.1185910888792,1332.230141509913,1213.874715501983,1098.4799273372628,936.8504815764488,801.2261033840716,690.9278708673368,583.8116127086989,504.92646909600603,467.2918020586106,446.4284991480163,430.30491090411215,439.6539320665123,449.83814830256944,486.486333018912,533.6941986081446,571.3283295278883,567.4519334297725,542.4662951310072,492.68723580513125,407.21574100886767,310.354599131423,235.39454691403782,176.2155048136803,109.50102332108715,64.18086929998816,39.837971180711115,19.70746868660507,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,63535.9338128795,977.8125822966363,11366.650131298955,15422.05355799571,17972.83766427641,10428.65580167429,7367.924075337491,0.0,15.38774125125564,34.361438932511405,57.25226829533968,107.65619706876085,174.1976548916237,245.26154631423648,343.6957355429086,480.2501270374122,618.1363697339175,775.1491146030892,974.1967554190494,1144.1038137880842,1256.5486844386826,1288.3705989983955,1261.022784556666,1129.1990667938032,968.6352967727679,790.1170111255894,680.9205080314987,587.6303018572222,539.1532004971481,507.62406746241766,517.3607573030632,515.4921385641021,511.6185900858198,501.9137734890507,514.5723696539987,531.0816433280744,532.1864792926664,538.9368078130428,575.1128193886477,604.1697355961151,608.6793264114756,628.4156440805705,664.6781026456532,682.0039748704329,693.8789417780641,731.0142630480203,781.0699386408771,828.1471782663339,862.2987536311048,916.3252830400063,1048.6894672518013,1138.7337066595478,1235.839064547705,1368.799751496482,1512.759485460964,1580.4651601820553,1665.8193230570578,1717.5137833881283,1734.806614068593,1673.1384449959978,1572.9596810582584,1464.2913075916924,1307.7113417699256,1137.4476424483482,1013.3822202729857,905.5799785301126,816.9648118611458,789.3825469431167,772.3170078641498,759.1652411862599,759.5761649973622,767.0488907748671,806.62713135203,893.5975112760553,1007.5666541678563,1121.9352188735975,1148.8279694952362,1112.979460039131,1016.9915741190904,881.5643343395386,653.7655749852111,521.3649681415914,384.2364532637231,258.6990296484496,132.2436995854213,91.91143570984224,31.887910583970804,11.516446552687125,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,64566.95165199587,1351.8071097900502,11670.780861023532,15788.083620604102,17477.234530274716,11057.379243356352,7221.666286947092,0.0,16.70140393656806,40.47885734092036,81.95913215455765,140.3384314818633,236.82810814819825,354.47928820335954,481.021888524583,619.3119248627579,764.2858117931609,915.860664437124,1085.5937891628578,1238.3054369229412,1309.0417527220668,1295.461425258339,1214.3641989436505,1047.7590853914896,860.5623222660868,701.5803094424502,618.6541398206058,561.6326408820793,529.784558513939,508.0789574162101,525.6450586326122,526.1770467007887,517.9623178051183,509.1408371406233,523.7150989469151,530.1670250212617,534.4349312752795,540.5521609537743,582.0312860252395,613.4070671915157,629.7151955505402,649.8911115187441,688.6109513004775,703.9435308613575,730.9413458867357,764.8728713273825,822.1813961214833,869.6186414623547,913.141258952175,965.7179634662041,1046.7203676512872,1151.6867022541373,1238.516891481789,1338.3448977515504,1451.4580556480896,1542.2240730911585,1592.6690166187009,1642.8608100347865,1664.8153295117165,1608.4457270081464,1517.7912692775647,1415.1492314727134,1313.272526124366,1178.5103934071851,1080.0348210672767,1002.2058557030259,938.7916860000515,871.7511606357706,844.7028327708017,822.8061751075638,813.8542167368602,803.5495190250429,825.706668734215,890.7969545231143,984.6689596454436,1073.6425571196646,1099.0370509984925,1082.7127141326696,996.1656511340888,847.6179100899009,666.8771160407314,525.6443162909634,382.65304455938593,257.4792331131024,156.12974387063622,87.78160506524675,35.43851376880167,10.486830763409175,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,62557.62566296741,1207.5595784602028,10531.827940844196,14909.743207958349,17403.768540733072,11056.246268475677,7448.480126495922,0.0,16.585455216673495,26.98287172464484,55.10696410630508,136.87675814088092,229.02477380238173,309.03383757222207,433.94891789709465,570.3411924886233,674.0224543078075,789.3946855060353,958.6607145649144,1096.3265617977818,1170.0851997647928,1165.7755363101821,1115.3773967674142,973.0702011029048,808.966521220898,646.1836589663624,563.6238180464793,504.475144733537,480.462629798858,457.7163136118197,480.67784683957694,480.3379301641285,481.2478586129301,467.7161512033042,482.9270220246757,492.1368800451946,500.58609973864714,503.7717805722809,547.160879852436,573.9803041662026,597.2303513823123,614.9866645850832,650.4477866093918,666.1355838206526,703.1363210972252,726.9518269347626,786.8251651548442,832.1637186167578,879.3720196548128,919.4877799125684,1079.8091488263499,1131.9238921966653,1241.6061114977533,1330.4323126074914,1448.95838392752,1470.1690063641709,1589.2791379204125,1621.1216884714725,1659.4412751665038,1624.2125772549743,1536.0390859926792,1419.8109823915977,1330.774086941832,1203.0424290693545,1095.3564106557533,1013.8624156337147,940.6296833842972,875.8655892831952,848.5984308043799,815.8084269428398,812.009906241133,811.0891741743784,817.9164158323554,864.3114690218138,957.7559174324637,1053.7547517584758,1099.8561017472487,1078.1694422455073,1013.7055490841933,909.4804856142094,719.1021398279111,543.6400642289225,429.58529661517616,293.79619405297,156.48031731281364,88.06475742112015,52.261670101910354,10.583356485464002,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,63018.19665799668,1287.6944202920536,11360.227577587193,15057.539566551672,18213.220391811723,10529.971155559806,6569.543546194242,0.0,8.208025542774768,25.751543574135827,63.818641401635894,138.4917183211918,237.9335363070576,344.04102455765747,469.4499305876002,610.0198393220472,736.3404248629909,858.8262527504087,1034.1233070711933,1191.5372139401707,1270.123518586414,1262.7394571004504,1195.953860647767,1039.5350087977529,854.4733714724993,700.1733820061243,606.381941029374,552.6388377556771,521.9778889285468,491.24452247728584,485.4263673203773,483.92297862240304,484.8019618570415,470.208492482648,487.01754754188994,496.92327179136987,506.1778564029005,506.1847815495778,543.8556940871185,570.7226311827126,590.7117587845918,603.9487662159739,637.7221789755498,651.1984349551498,682.2879481422564,708.9798453692143,777.7221390233975,836.1738430480913,903.5976115432704,964.2480174225743,1099.846191072053,1215.973689214133,1322.9792099587594,1422.9153955070121,1557.1336435009619,1610.486564894714,1667.5406749719375,1702.437654970514,1713.805853607325,1660.3170705754978,1566.8721248200045,1433.2921481041155,1339.4663616867485,1202.3236600110024,1087.413159372088,997.0762139454104,938.3917533394928,851.1964527972725,820.6014162002667,766.8046832630674,754.3834099583121,734.6007556081507,742.7402689700059,778.7253761346716,855.7140059600666,930.1968553930237,972.261754395232,952.6282352502699,889.6354935812767,776.7469955880777,627.9664803491252,485.48335297997386,373.71184770737466,258.8866485916712,162.77704699845316,90.63486658492123,40.3699214076196,8.244047367222999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),51167.18182485633,1084.998289548883,9232.685695661825,12366.890636549455,14235.481022207432,8813.657715217614,5433.468465671142,0.0,8.018006124449402,23.136227280751637,59.02375077916725,117.24299920672794,200.8697297246267,289.16021227742266,387.5473641557374,496.2160076489389,602.6527194114013,707.8834707200339,852.6239060500717,986.661219572663,1048.117340678514,1038.2814887748912,970.1875537198624,829.7960385848868,672.1314344945181,547.5240718673075,480.6104441387377,443.5816110547041,425.0403881194111,402.4855337819305,404.916989039409,396.6644503825688,399.80373098300834,392.2937288317466,413.0710739711456,419.221844785601,428.5663755783282,426.6839957601602,459.2850343420952,475.73445807306155,488.86392754604486,496.59201370335325,527.6274515435198,533.5535066462298,556.7336585014543,576.1816392456078,635.7192311131619,669.2186436501954,724.0274921792104,773.9184961095442,897.1053616079631,936.618949469924,1027.300135461586,1097.5049428295579,1213.7100989710455,1227.6027741905866,1296.5776249748105,1315.1096141833016,1333.8663594922964,1290.6471974504202,1232.648810483074,1159.7696346167525,1104.1248800840783,1038.4309711893043,945.7119045562483,876.1840482023268,826.7347975960154,742.9806390475238,670.0701930263107,613.6914820807448,602.5772488512596,578.3649491277823,592.6778324626401,626.4014598628213,699.832189214637,758.3047431393526,795.5723876687953,781.2948218180683,735.57713206679,638.0128809328958,517.1360576656028,406.2662817877851,316.50753099636324,217.7869933486667,140.41114582447375,81.81174924051581,37.20201742023562,7.584723761598532,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
