Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,9518.991253848115,24.418563478940243,1125.6237338372343,5015.637371320015,2027.2559836285084,1048.8493693976436,277.20623218577066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.418563478940243,45.001375643126,51.00860360185421,66.62216729120841,82.16950078056672,75.74649143947248,74.82757209338558,91.69859762703642,100.4330661998744,114.59516943729956,128.9364725234359,139.08609892337662,155.49861827659794,160.25042007601357,170.5082045481711,183.0872096315868,199.17014304864938,188.64903653879534,215.77996948186745,213.86758241895782,220.97771501072083,215.61050270366883,239.99093855166433,222.0260516032593,236.178946862745,222.3863724376376,234.51452868996327,218.8428531712385,230.3839837503268,214.50286457431702,225.08425653037082,206.00792136091243,214.2193755669999,197.9700775315925,204.52789492949108,186.5226483790321,194.57787392203304,179.8934548106761,187.36199180809783,174.88562117395188,183.97015614941998,171.01958935461283,177.22606980356602,164.2172316048787,171.93446875965248,159.3932534748927,163.70184329851028,147.27462462081775,146.37767876943215,126.21452761771113,122.1377119903512,107.8495810103842,105.15124592625266,90.80140189697123,86.37821651028301,77.992259539733,73.68675633430213,65.52009196434085,65.4792652375745,66.16772842428186,61.47058294545785,56.882840840113744,51.8984587473761,47.95654693455781,37.822418778160745,31.67455723857109,21.86162354658412,16.926281562406302,8.138398583967723,4.0451059540330405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,12833.645544809311,29.979276875332822,1444.5729792945638,6741.941489931698,2882.3098905156894,1356.1672883506717,378.6746198413565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.979276875332822,39.554016471830174,61.249505448488144,75.4419407892675,94.53064190441654,85.4168996510755,103.11835954458893,109.75499348672228,127.66343836232106,149.49328971606502,190.69090534875642,188.8999209717915,218.7590675992407,242.96140185934232,257.4762668122717,237.08818401810692,279.87729360441153,276.8090985472171,278.84024292381406,272.4965692146492,300.1250586034534,282.33837358836536,298.01449793238874,289.1260816246406,308.23995860388686,287.7493756817205,304.9784671459997,283.82626397171435,303.11875731542233,284.45524008277215,300.48774837029987,278.0086122717788,290.9499240810166,268.84188437225134,281.13835411611063,260.3361346285141,274.6577005615504,255.5384130827924,269.7782309840875,250.9140771357927,265.5709274235989,246.1518687171241,256.600096560277,235.71598468939513,247.5304054437732,224.29869408101715,228.0281917130449,203.17676969296886,199.00623099181743,168.02664885360858,161.81954179234546,139.92733489428372,135.615744538383,121.3099462009814,114.76221427710979,98.22485030150824,95.18891895831244,86.33828182217368,80.27601030611447,74.35112303550885,80.32667337034219,69.94234827500335,66.64095816475071,56.12277614300982,57.7212815319031,44.61483881579112,36.057702243777584,23.455494033729025,18.526182399397644,5.5930382339941325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,27365.245171208673,19.520993983655238,2320.7410947208123,13576.160784654292,6906.596403525187,3585.9612275800555,956.2646667446786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.520993983655238,46.86451041822862,80.62949059415531,105.42211914799783,137.2204235867898,151.9127744622198,167.78272172239915,178.4964933220649,215.52884681754605,235.18367132418243,289.94018159402543,327.9185019027462,383.8413598284571,394.031848624972,454.0013867464578,472.8131209548892,524.5207378951688,518.6047547771241,562.4229842923062,585.5359673988797,588.0381629650702,593.597084354455,615.2742641366591,631.2817702751876,602.0942670537469,624.1919971788452,600.4160585837774,616.4704120453663,591.0642963420484,613.6007108118631,589.0734177037729,593.5300646373065,560.6484255702925,578.5242231061876,552.3336264578626,567.5283762861537,546.562826455898,572.5410362294666,556.4802886164775,587.7150667719678,571.8077158553842,611.9007165091489,597.4686410167651,615.1351100653667,583.28525903385,599.8858091217948,557.2896778991616,552.1871181515197,500.8999642542849,484.4751069902135,422.7095428582919,390.83586263056253,348.6463381942675,316.87537976834636,285.65884287792505,264.65701320435323,246.1302208912273,213.03660764503545,216.7568503386371,202.41022776968842,193.76923441150691,178.92225805763906,170.25856647297442,148.2212354555195,135.87718004943568,117.2006936617732,86.7777922840172,64.94552625758806,40.40411713685836,13.657297368873046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,31820.3980974617,18.304318754565607,2372.506010863161,15487.734557217796,8342.186334521964,4445.324106013751,1154.3427700904615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.304318754565607,48.11733543785221,83.80470485224286,110.44803616003456,143.49954214545133,159.8068893554939,175.18785289893506,184.56144284251542,206.76615430378934,245.4204669011301,299.87942889597025,341.14306065786883,373.87109641187726,424.4808805246314,469.5367814154708,498.62733852906433,519.4296436868724,566.2714816317155,613.821828837264,616.1451274237431,651.3569655565802,665.199402548287,708.1515769692012,681.4483464679505,717.9402101424237,684.4843314991463,727.7048704580608,681.6431586270976,721.0246390039958,685.8283453036876,724.1051129024128,677.1340629868918,704.1523926975348,669.0706583352206,704.084895848756,670.9284497693956,705.1640560523924,683.4855490277317,718.3162357238284,694.2921146199723,733.2501950933028,711.8955185619684,752.0365027640311,709.5888434370114,724.3727642929676,676.7254670237282,690.6220161689688,623.3020072446861,624.2991205637654,556.1018174191731,537.9700468778624,457.2901913972924,436.87946472467553,387.7157454758461,376.25257141656806,331.53332959903275,310.3282083155996,283.7806381815815,272.8783911050369,254.24933661300724,240.34436488807503,235.04646365065,208.34713746121759,179.84749856029404,148.681861952577,136.76338074770945,99.81693667069996,73.79246605623123,44.37324099367071,27.673783997411352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,34736.67259445178,18.928530260551923,2427.448847733159,16535.90812021425,9393.830646562816,5009.873600492665,1350.68284918835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.928530260551923,50.717356550622384,87.71796974434889,115.69409304706024,150.57355458401904,167.41302856748237,182.02108817386798,191.3576299295593,213.67925867093464,252.54685486406123,307.5752495578436,325.9890026476437,382.1637613957154,434.5699091873232,480.1149682164637,478.5889779486937,557.5668222258229,585.7464454837815,638.1092153641367,643.2520510369427,715.7543653498407,700.1885117442234,747.3206776357929,719.9303013692278,761.510840045181,726.8300062185142,774.8087443860788,727.1293450163201,772.2855730711708,735.2880020535163,780.5192348318628,733.0466987804014,767.6239348871709,733.5232534235663,779.3226740423358,749.5816494420975,793.2959184537857,771.6830779252249,811.4595695874277,783.6976636473307,824.9369385375109,797.5679863199903,842.1619517797798,797.6618367531447,817.265481546474,762.8340534811169,779.3869085411262,703.1901557468373,701.9850226968528,621.8443742304443,603.1450704810816,512.975180100434,490.35627406146386,436.2505632461866,424.7013232974321,361.72175981259466,353.0991910248249,325.50421371703567,311.87030787290263,278.23519502243613,290.17014762582835,270.2634771928793,239.84234254049198,208.50356397589616,186.5242651894218,159.33550677533916,116.40763274865759,85.53673902683616,51.812050624528226,32.45727111429982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,48005.4170647792,17.864027894606046,2245.0367898995155,18483.76393427774,14215.394077155517,9780.098295263193,3263.2599402886267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.864027894606046,47.33223212461184,72.56005122684958,97.16427611585921,124.59856773334944,137.34390667884702,145.77481345530927,167.60272852423006,207.93593401496258,242.1380365927568,288.99860391281806,332.06622369702524,381.52141582289664,391.67849122351663,433.92975534003335,463.90832395844285,510.5151695224285,543.0305411865259,576.9777506142331,624.2857661581203,645.4124802752543,682.3435796249232,695.7268675139583,757.8695325303986,755.4169505173556,813.5080624419763,810.6304835459698,861.8033482266748,877.5412890451456,934.7601501446176,926.7612717690432,981.370522550068,979.717531286028,1023.3349805764333,1017.1761935157381,1089.4201124275637,1086.6447802832906,1149.9435283059875,1120.2975141100392,1178.932326241595,1169.0775992211495,1228.0584096790535,1195.7612547911774,1262.7767275350184,1233.695792373226,1242.981529226643,1169.7256282190965,1173.1097238540049,1091.0340435985254,1064.139927981682,991.3584243799844,973.560706903806,903.1928380330744,835.1992868650315,784.9041761030776,742.0809264123598,705.9203277473938,676.1012232289045,709.9474880888748,687.289152617773,706.4038169012285,632.3878861204987,622.5749691793956,546.9579551635486,465.1015047365518,339.62554616496203,294.75264948236327,178.43739177613162,102.36814347425236,54.715112899962165,26.338781290959894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,48798.570771684834,18.668405424810484,3468.9818198580224,18306.780285570825,14355.816269106846,9302.506960957902,3345.817030766424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.668405424810484,50.681810979637156,89.17625644631872,138.47121453698767,190.3544733610085,231.82633777578496,264.28937010481786,307.89566182536504,345.26900989028917,404.2424732253453,458.8163252761938,475.25517700385916,512.7037094324148,551.7939959162587,570.0898006100878,552.8983275031145,606.6082867655332,629.2745258616702,616.1915765075862,642.0002088688959,665.2464512528305,696.0694564989836,694.5117351003372,759.2360821307768,740.5477930088502,795.3942194985573,767.2753465301234,808.4025273732242,786.807764223501,856.0412898596037,839.9764448833055,904.2998630692439,896.7904674281293,957.7682735780057,937.6929812037117,1016.8586867352077,1015.0041811632899,1100.4649703846083,1087.9845596624302,1161.0115505304445,1141.3514007760514,1223.9953443106026,1190.509116305493,1278.7714944149632,1259.938014962464,1315.4970082387315,1235.827905885525,1240.484081756662,1119.980821878871,1083.3453536540917,958.2502784466393,938.1873883510193,852.5379740405562,835.3863383478906,775.6513971594326,716.0818238014432,667.7054993238048,655.2162873848812,633.7362737819768,573.0063880830612,613.4019585831065,592.3497384749331,546.6578653607161,500.2888858374168,503.5414984024179,402.45520018761636,322.1647858755935,235.08897563659053,148.02786363001306,62.25093140755239,32.99128595357416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,47413.841377136254,18.601237488325673,3204.0619878618827,17339.74409170295,14207.428191266816,9255.350397568987,3388.655471247276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.601237488325673,30.347324775020976,76.34074034142593,111.97610660341238,165.8775823901233,196.02283996557773,246.94026639995133,267.6169895733396,344.41531805289617,361.24358554577265,427.41777518265195,465.70830180505936,510.155157226651,480.043187231648,536.6556964428937,540.076695742249,565.1967360968878,551.1759643881425,609.3992383393605,597.0357640227458,620.6780808229161,618.5342834709218,685.3114782792659,675.6186644473647,725.1994943460852,710.7792858767236,754.5202899154614,728.1993182291493,781.8920493483786,767.0976088557964,841.3985731165202,829.7949903012889,900.3803482701285,884.5391841291396,959.3477049651281,943.7424869980985,1033.1269680666553,1029.1108373699303,1115.9134262716107,1099.0936410530257,1177.256531274682,1150.9290324543567,1232.1764564431107,1208.8558976604284,1297.9307899492755,1253.0030083879535,1288.9267436992045,1183.8807152687455,1170.351111434492,1030.43091284411,1002.1684895926379,891.487332233257,892.2335132219316,783.5328698271478,778.4227997381381,710.8359486600389,699.987694842343,615.4860424464467,638.5760212140491,603.0925984636167,609.0961744852717,588.0044207250286,577.6766489176796,531.0804402807642,499.779239628673,399.2376257305195,319.26389064181154,233.02406545130023,146.57476058655558,61.560857181863106,32.4535221030808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,46100.69178156097,0.0,3318.9111655053975,17370.170598587247,13662.230005118377,8647.100454383613,3102.279557966335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.57732217117366,67.15235906889629,110.01073767786713,168.81711182453728,225.67493094035686,274.63152979615427,302.2501938926138,346.9744115550689,388.32569806989954,449.75974832163973,462.2321184614978,501.5050037256925,529.8708726722647,563.3201246625678,542.2690541952089,582.3948367606023,598.8032302820677,607.0568607830352,618.9884675667156,641.3681702852874,679.1377970901498,684.1573994970445,723.0559499065871,708.3987044296574,747.7754015713019,719.8976688401501,755.8210875682225,734.9603657850406,788.0443448854962,788.1507451781705,843.0366129182205,832.4047459380023,896.599827949938,887.6475882006879,946.6065824202403,950.4041592005896,1033.0678809036704,1027.6175413025312,1101.875684983508,1092.7288627086164,1166.96243552547,1149.0822476179887,1218.314190763571,1190.2667201698814,1248.8642518229374,1180.4194997915185,1177.451309101588,1075.5793804270982,1040.3536345866569,914.6182955105292,884.9333186699617,797.200817439837,763.5918421363534,718.247282047858,663.1682465678109,615.3329965458845,598.9380370660542,584.0131820272251,522.1529172458777,544.5498845395641,517.4566639466972,505.79730636803816,463.8478753361452,461.2474198135367,380.38162107176885,321.72139659412534,216.50673784247817,138.645317989469,62.45265782531422,34.22256117876154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),39040.42598593478,0.0,2653.8390886197367,14174.959975247011,11767.384155692938,7661.769834064221,2782.47293231088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96529915433464,59.07402380679793,94.49580691466993,144.26177852655002,191.6123318822021,229.96766882053376,248.96139201797038,282.05090228187686,308.3550272217999,324.45112393997056,358.9738522256929,391.66988182733775,411.78035279743784,409.3211836765367,449.48886311262237,449.8717909875952,454.39501503215234,461.23048594249633,478.5239123509603,493.6347518615527,501.18039484641724,540.4077004778765,550.5927774093786,595.8374249994607,587.6331430232779,620.494517905944,600.8162690461811,648.7369950309535,642.4258651992403,696.2265563650283,692.2366254771813,745.0699362058972,734.4027464634463,789.3698762930272,773.0384760105483,848.2443147318013,851.7276932296616,916.0320490743126,897.5400308489859,973.5894873822516,955.0115976660277,1018.5787701835014,994.8917339891614,1070.9750378973074,1037.0097233645622,1067.0434417675217,990.7546446248517,994.2299456647903,892.3354593375668,853.2545300921261,756.842896043674,744.406428858092,673.4879811597519,621.0178979007443,581.5385849063256,566.3633158265712,521.3610171023352,479.70446186767487,492.725137602296,478.73212336706285,457.11176107261286,450.15340877340174,445.23621399112915,410.75913998174235,337.340728457552,284.7777206610496,190.70901600090016,121.21274459987733,54.63742535073967,30.53477342187527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
