Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,13355.109619762,243.33328297444064,1732.5596844633915,6247.145191958532,2635.6894272110944,1728.78994048329,767.5920926712502,4.3394614272667456,9.608615155153595,16.301880922637007,27.07236564108121,35.60418417531289,39.74180878842333,49.73072776702896,60.934239097536896,72.21402936261639,84.02369076693066,97.09229439270871,106.02376253226521,124.83894385597357,132.39224407494086,149.84278007779085,166.38718190385876,187.6897086134289,192.45640957173526,206.46567782570872,213.1329614854335,223.29677373917892,223.83809598811987,231.4222565194481,237.77420926783847,246.9514129440468,252.8209730223972,264.53350965342617,269.8399642066604,276.4886541069867,280.2659859246714,288.4271127061699,288.31520443352343,291.2860861165301,288.582282643136,287.71602776558035,278.9893860539944,273.7533921947486,265.7313234095211,261.0499982525593,252.78463780048625,248.72682775335568,242.62981771735974,240.55821468148872,231.36304505730598,229.6291586573521,219.9820874777657,212.47744111945664,206.82384956328482,208.46953393958037,203.16717733216592,205.10338436354897,215.45979907487452,221.90337938114047,234.1678163540842,241.42253400941647,237.08326593842446,223.81134799506845,208.6913096184722,185.47445983137104,162.85826818075398,150.3742207985706,137.41410870984828,127.27574059040494,117.56645445029363,111.73434704704303,105.55442338698143,101.51688225307815,96.51837762140448,92.89260579514996,91.84479052278787,85.90343156294905,84.63960576559269,83.58318971906183,79.34576670505331,75.03405477678167,67.19929063680628,49.579904979426864,32.856759077100264,19.702780644693963,5.009912485846441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,17802.24773171852,274.9332542839554,2182.5298143297914,8329.681034172683,3836.729294716956,2219.264546048063,959.109788167073,5.121048008516116,12.073229161801565,19.976358145751146,26.734461512107483,36.805178298986334,50.26185308482464,54.25867172587762,69.70245434609049,88.42928819676544,108.219639217607,110.95958768668814,135.91029130289326,147.70636496162027,168.69886099745338,177.80157082698383,216.8461787708749,230.80235273832764,251.55960095397472,260.96261446991736,284.63346420668546,285.08031954026706,299.3016734205925,306.02171597733036,316.60702369123084,319.7125605800872,330.03251666362144,336.83116841302683,347.25238573004214,351.8350584711063,360.6678634480852,366.5947086728833,376.9889366742022,376.86632706630746,379.6149222721263,378.3655255923545,375.9057044065559,364.60783792497597,362.52948911932725,355.7291165219538,353.14975379261716,346.98463480071786,346.35851664658384,341.67340346343866,350.96987128325065,336.4133365333458,330.7959158007077,333.0260806106026,322.6669413099632,302.91114282358916,304.60345476593085,318.77952842533364,310.07159469844856,314.85223881460695,326.5938901032584,331.22266408751483,304.79250674365414,286.54290289851645,268.8476591841422,238.3136653319194,211.32985540434032,191.7507698447089,177.1132302666454,161.98739746243413,153.04301466358515,142.6905517163592,135.2429201283157,128.994887664335,123.4076914827613,116.32633517701963,112.7638980601766,111.18995009895359,108.59850110968044,105.67218711745129,95.5025386616718,87.8859244417919,80.11140366708176,58.96967108719496,39.72733120846314,28.177742166749464,14.184305370838507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,22561.18247357435,352.1780696849027,2527.393255185594,10432.570861725455,5116.877699965099,2935.326032041912,1196.8365549713878,6.227729804705664,14.538715159436036,26.469269696853896,36.10326052409055,49.64092825733409,60.78481496802745,72.17975078413909,86.23360049031595,105.32806773687228,118.91332571603137,128.6844493961891,149.16297931430074,164.42491632308833,186.73018531006093,208.1278492408821,246.34680567763252,267.67671240721006,301.5402467060631,314.335619212425,336.1220981448387,345.53806833093313,357.49180348809983,361.7644540776763,380.9916932659595,396.03718263902334,407.65697656638224,428.75970226052635,442.67967757348345,458.64507361819875,471.6450218126043,487.5871295642249,493.93682495614655,501.38620576540114,492.8774398988511,489.4633715894663,477.78917396488123,464.9736825727257,445.92298769792717,436.85509593347496,425.7755507084542,421.5221122082647,414.42688407614236,413.9996216443569,414.8451275122508,407.7913686635797,412.5423367097335,411.8535483061676,413.3311462960452,402.2634698117472,419.8208396853418,422.490014369975,435.19628789422575,432.5819038473021,464.9706615804248,460.13538389427436,433.90073890628133,401.8069586519304,371.7974039888964,317.9068383340944,269.48886306734505,245.0188589664896,222.932818631746,209.42026120207169,196.54055093876568,191.6324748486723,177.382932166868,170.0785350004133,161.31953624461883,153.2705332744236,143.25658630196494,133.50264613460763,129.7894050049323,131.94622416670188,119.73797006117512,108.02985702207516,105.26170697967407,77.43188620672771,47.419038994067726,30.83490770205524,16.355793122982167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,31505.28527096261,408.2966835777714,2896.2267175890397,13881.25980588771,8005.391855281263,4328.936386413814,1985.1738222129968,7.000301332829999,11.53458002377483,23.029289413084925,43.26100381026663,57.27472956135032,67.957499280001,90.85202108482194,107.38725907164171,119.76527944199448,140.04606032584812,160.4367667790674,170.34498375247958,195.96707010465812,211.1450930498969,242.5397106123264,265.36188553830755,314.5085916004833,334.2905406880793,360.31870215538436,381.50203354051416,415.12899594805845,416.14887133860077,440.06215348534124,469.79884263117935,488.9390716163655,507.04593176463686,539.1724118786561,564.7351841171883,586.3600553385137,610.2897333014497,636.5768489297229,652.3837961258322,661.8328994550739,665.8664290430474,662.2254686258623,647.6906389066853,633.2263229371944,618.2509594344981,611.258307042601,605.3205179695536,603.8388898636002,606.4745501871128,608.328604936695,630.3043210102412,628.9315982713124,625.1768088856726,626.7063568775295,674.6827796503095,659.1631881600201,670.1630163631291,681.8678284816235,726.1423068571362,687.4703723455542,690.6693760451149,677.1335126192055,657.2847107246555,580.3273609271642,530.4567639990854,470.85162157736266,419.85207277085516,368.6684474820995,335.605614836794,313.5568644446345,288.44305043393825,270.8246497855474,258.7779493998958,249.31921751606575,242.25277324037148,243.25820805100048,237.5285770406369,230.96609052892003,224.57096941465926,206.70613081223038,198.5778820981588,182.27634367373884,167.2774603467424,123.73909883421442,92.04740899407284,52.01569430379854,26.20995811482391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,39534.370043274415,493.1391275251751,3325.2076217322815,16289.32702188346,10468.672002922285,5748.44220277564,3209.5820664355665,8.155516143144407,13.462915278271904,27.055064971300716,50.840491427292385,68.57591989891378,82.73900202120603,110.8470943785213,131.46312340652457,145.7751637662574,170.00032645723087,191.69372493534672,201.96235279783062,218.18739507549893,245.11623412827183,276.0591224803313,302.19868549269245,353.7216534070283,386.31869765841566,404.6057336307707,429.56853190260665,465.1827024199256,469.7847090296019,497.5415390620949,531.8790019121631,554.4016578915555,576.9402758624981,615.0053430070374,646.0262518223684,671.1139642375119,699.821252288379,733.0484731654611,755.052122512334,768.0317369916625,778.2994763520143,780.3816441012714,765.6040090014143,747.0828557962237,733.2823091537856,732.0374202166315,733.2224796192488,740.1951823802126,756.90457210377,769.1370180458409,769.3510249104557,779.6871416580591,804.2783936007606,820.3728159797183,862.8095758009025,919.7744995600183,932.6566186748661,933.0580481511051,936.695415031155,933.874846246234,883.5866586129578,851.819274126535,810.0587154799726,749.3444540212092,657.3511651445276,594.0208488412884,536.2809010726896,478.9870052684065,439.1342081269903,413.65608261820677,384.90801992363714,366.8784307908014,362.51477065739516,374.78093468533797,390.5853816251492,407.84674023362237,408.82877968457785,399.53789692772943,377.37276523704077,333.49060149567237,303.71680921727295,275.8012406229434,252.6816071476109,185.34979726281102,138.0632195366976,84.00192168471604,42.890687384872095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,61770.29635199056,530.8645943790884,3420.537314981442,18861.21811139901,17294.785747334918,11907.09998355181,9755.790600344279,0.0,15.527520339098725,31.1191989271571,49.600464567197754,75.71318634303547,103.12860698443956,117.42195382880308,138.3536633893567,160.33085990754338,173.59121024010295,197.86369737281967,207.42191250427288,230.96206600960446,244.45628874626598,282.93148746164485,300.01973276755695,365.47992832777254,385.9808242752224,426.1346853762605,445.36462199237536,475.57577912871056,479.718690978848,509.02574594192174,538.8506809977216,562.072095709741,593.1790105446631,614.4941778148536,652.7379413021478,676.1725759561342,713.416537407021,739.9030913392882,792.1187651037393,820.9113579021698,854.8283664321092,872.5505437969161,903.1280124504403,893.6330024757892,913.9476032557862,930.5306982184524,972.5752645251166,1006.2762512410353,1071.5336277921995,1120.7059531110003,1153.3323379732035,1239.1681198598812,1254.0447457160735,1299.3638375497949,1459.247808912655,1532.5647743876114,1514.4124686768023,1570.0811400303526,1640.6719511271267,1512.2839023018078,1464.6877458692609,1429.742092156068,1378.5171607474836,1236.4395335908305,1163.1285062404554,1099.6108780847721,1020.3324041346092,952.3175792720058,923.1750616072047,890.8515883436585,864.4984554907958,862.921646761655,894.9055018242084,950.9866896201764,1047.932138581439,1148.8403830238058,1201.0077384420524,1218.3824782849822,1187.8889572706025,1095.0560870591578,935.1159949359219,879.1397033008541,708.5519727633776,558.1836604669975,381.8148848445698,274.504080431053,109.12014959023351,58.184509930671894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,67499.89114385976,723.4844276144185,6224.483446446122,21783.656222789745,16468.592900720618,12559.263693943114,9740.41045234575,0.0,10.05326884051177,26.713238240882394,49.492317662322826,89.48624345310851,135.9070667235383,181.34609359286583,230.48619910118884,295.47997018198527,338.79770030737143,365.344591324295,388.43374653156013,438.61920679838073,465.18247526458015,520.9795099236565,568.2046007721192,670.8119724491788,691.9164589935554,734.7047169571432,746.0084969422963,780.6594466375711,747.358303785164,769.8372425084873,765.231077982335,782.6884643481574,791.2916883283433,808.1771337669217,820.8202584236368,849.3074815945204,851.6710076020635,869.266765991346,900.4016211878435,928.0509998555733,939.0065409083321,968.5082522891037,971.9829240160384,971.8417046945947,965.695827184352,970.608046123417,983.362473957484,1027.5357118170314,1046.3998421171186,1093.4914742246042,1180.4619334457009,1216.7699349832305,1230.2019341168225,1316.5142320885507,1363.3405234231345,1382.90224575557,1414.5739458851306,1502.8337471966122,1484.9987284474055,1461.059153689676,1400.1827549509524,1391.0139549625574,1304.2017452209766,1266.1655600057845,1227.4360662866106,1208.7828464771105,1134.8824461431852,1093.1866695235758,1027.8034949232142,981.8256118855662,929.3153027327884,902.4572507632672,882.7293258782263,920.2629869236857,984.4161324000972,1057.2108257326174,1122.9483188861354,1179.4112751882535,1176.2294299531188,1061.3994470545347,968.7747151650476,900.2100514336223,731.9919189868492,583.1801094644337,454.8703887016719,303.33497783752813,135.62017689158208,65.22881705035313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,65627.63197551556,679.5029750613428,5824.838123786567,20734.579561003062,16197.079924979287,12540.55697568264,9651.074415002638,0.0,10.033087899073095,15.914603276508224,34.681998083146055,87.8824078340152,121.54101101740999,176.51416339600476,232.9357035551854,296.5773369398225,305.64217507959887,343.3240114113666,362.8432586151559,392.23939682408326,431.8961621196125,479.51221873874215,539.1131596147567,599.2251700405683,663.0698803598412,689.6824281774025,721.7129258656157,736.5540461387469,730.2545545508867,724.8084975156162,718.850324513788,734.3309646999193,742.0298822577626,759.0600873068298,770.7776148223279,799.5148717848973,803.4193807587826,822.3320540669966,853.116375529942,882.0747033526413,893.5950619083808,923.5476626309855,927.1722059691216,929.0804363055812,924.3990987646707,932.027845000758,946.7569986662896,994.2255641041952,1016.1094923345247,1066.1441618839904,1104.3976761354247,1139.127852901879,1210.0112324568256,1252.845247245912,1282.500690838108,1355.2587726714494,1451.7703852621926,1439.7032520292566,1455.8174712532789,1454.322263246054,1445.673232767459,1376.1423551966973,1333.9071691101753,1306.9484959909967,1264.6925742197654,1193.1544950352045,1120.5149818719628,1080.4249902298016,1016.6730496673337,972.6103535674049,921.4708463518317,895.9754322922786,877.0170889217044,914.1826465661003,976.8920209682584,1047.8692141256586,1111.4797917540998,1112.1897184513298,1104.682965157506,1050.849266834598,960.369113960048,841.7362370053489,781.7156125730695,638.1398932434138,451.2955650740549,300.5070155282245,185.9746245446995,64.26539675058903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,62608.308288004286,709.9934914018527,6385.262920065614,20379.935680189876,15428.510898384284,11218.071110575585,8486.534187387091,0.0,3.6144440854987763,12.62545727290573,33.28716038652901,76.37746702443933,132.90111965254164,192.822089030206,258.3657539497321,324.0644758605082,357.2814310241855,375.94050835453277,416.5811682836015,437.30172755945574,486.91392927253133,527.0452548296241,594.7958264725137,665.2563067170455,709.1521770541813,721.8675479515166,769.0625666859172,787.3982524308177,759.4526550969575,774.0868927833391,784.3932283588458,778.9782435160602,776.8422898423008,790.2291226918255,801.5697914852403,803.754612397008,814.3035166980217,819.4104119584905,838.5422648908534,851.1443091248151,866.8765070852169,875.7052042547901,887.624869507082,876.1907742469498,872.1911354349822,874.0869525478357,891.5508996245674,907.560498944187,944.8047373825219,978.5277774924564,1024.7107323947098,1096.1607092149493,1148.8969461009992,1174.9806087714976,1226.4334669692312,1327.7557500231371,1342.6963537278818,1355.6673403302445,1389.7349143737704,1441.3627021645755,1349.6843581932867,1306.7612090350112,1268.376539479701,1215.2753709539052,1109.386169395639,1063.7404618254716,1008.7256998606506,961.2635441138721,913.8341792226796,869.7894711873547,839.8895840257187,807.8108279769774,792.0834997824443,797.7209130207956,838.5513892100778,893.9080616906247,938.7552335265702,992.5528909023095,1001.58602630524,929.6300735956927,838.1138889605917,775.8893328082066,668.6539724213711,541.036082527512,411.54336292118177,288.61440662732866,154.55770779300815,51.69314730745279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),51185.05837262069,603.5596157077817,5136.4810872660455,16236.223983418302,12681.872179375849,9482.416694802032,7044.504812050703,0.0,3.6936958552078663,12.085804565191186,29.59795218119047,64.89362670513887,112.53234336571668,162.33879262411034,218.4174004112263,275.47410894688494,304.40422753574927,320.4764583448058,354.55505235267333,366.23742467709593,399.2187869150832,427.3108081074207,476.20156033238777,501.0170588721978,552.5362345550692,560.2994299624252,598.7499366642525,611.7038951543991,610.5895146766692,603.0029389312213,610.9622199753427,603.3409850989326,599.4006601519153,612.348901186904,622.4627105913228,627.5566499939213,638.0686516619575,645.6654989934383,665.0044089991931,675.2204566583919,687.2597030516713,698.7616318213184,714.5621130206225,708.4086551388222,711.971610019009,718.3729167355659,732.2428256713288,742.0079966500373,770.856089451011,794.9271101743573,831.5258396109462,856.4025720467308,938.6921485723303,963.9507656408746,1009.9411303359492,1054.571246692284,1100.9992175004852,1118.8462181201683,1147.2287615101939,1159.6635198556176,1132.43973403756,1132.6862302258678,1066.4506348377877,1027.78215702672,976.924156682013,937.9941055224293,860.8167176263914,812.4419606266342,766.6879021869831,724.2666155142543,697.2262027718206,668.6222341153939,656.7229836794082,660.1227076319938,692.8089514179907,733.6575304524057,765.5384403562488,808.9888253579353,771.9758169319963,759.8335328311822,684.7188565692238,643.7637975828884,564.3952501781922,510.4513944385917,356.7120773042507,256.1363911053876,140.40977180403758,47.92312713836269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
