Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,3757.480369270132,243.7680956762698,1162.9320196703297,1079.8507341220068,916.4428442134542,283.5166706820863,70.9700049059855,2.1097623398369536,6.507296148241715,12.448499698516596,24.29769225889064,31.971789164435645,38.39054028116573,56.24270379284257,71.79981199233994,87.93589121217977,101.2572492425168,117.23138369591308,118.32934007664086,121.18950344449286,112.23712617012707,108.24959688812037,99.69692601834345,91.71720782919829,77.78880568926748,67.98977821618408,59.30921118734572,51.17472897133338,43.86790412012611,41.81221827185747,38.821054467000586,38.586762293651546,38.71031487098369,39.590510426910974,38.18592634274425,40.72681819290828,41.82578943923625,44.14388867477338,42.99424664943609,45.109857945588516,45.79586378049096,47.01601469411963,44.833717263405994,45.96301602996304,46.42162743727904,46.8262570832083,44.40143869277363,47.07226876718186,50.90747182754368,56.11092973355861,58.952108145931476,67.49244887222858,73.87792600005744,77.06259383264215,82.138236067831,84.43747473302605,87.24323322333561,88.64766533225333,88.20847369198812,79.06954701696431,73.32835863272125,63.06969338826957,51.86719342213673,42.455682282072296,37.73160197758249,33.715234748067715,27.817244816202944,24.100299621463524,22.192747919511074,20.32628340025416,17.325616004499427,16.720276622969774,15.225135497967305,13.99890477385802,11.907643017637513,11.836775363664126,11.183072913538439,10.127175276816537,8.365189939958023,7.453044085800077,5.963179378269692,5.023503850927263,4.287147820394069,3.092784513093415,2.002537732312132,1.3068454668570424,0.3287485643546821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,4719.003144739567,267.3050243560348,1331.5524744668896,1349.2491678306199,1266.6972939218158,394.71719313976155,109.48199102444467,2.8737796840680265,8.561953189894123,16.015785429293,20.74662105261497,39.08315256872271,46.09664789138911,58.889088085095494,75.03799645495731,102.07457986698721,113.89163693431419,125.67340551755348,139.53696063849182,139.8207603841286,129.86352718640393,118.60846726959619,118.77865445464829,101.2248325543473,91.15895183917648,79.9976028175618,70.92309500368036,56.228893211720326,50.463664725703076,46.65283940226833,45.33326294181854,42.80156765558992,44.96479768271746,46.65885688624999,47.52717842109907,49.137110282996,50.40602025348344,53.043105761190425,55.21547657012371,53.31951582167204,53.174377817108706,57.36720317748307,58.8184304997507,55.45926391706666,58.09414906811211,61.19770623199238,63.28451817682094,62.59794630933199,69.20664586857883,79.3686083310528,88.92802881668959,94.19377239612614,103.01597487196558,116.20723230515236,118.38568933347989,115.98268392575078,119.2954658303641,126.4167172065851,114.91801478512151,104.91809636328678,96.7038937093897,88.11733065461277,68.54242253998139,56.93338287882058,50.7485175444384,45.498834147727976,36.794380815062034,31.89231261549796,31.08650632099959,29.42354767957044,26.35256272097321,23.647543125106548,22.64865357123177,21.13541765465115,18.555534065681968,16.508076322598384,16.085829112776914,15.040044836712587,13.03628011856245,11.023424149123787,9.363531400162893,7.534997134130343,7.1688422935691545,5.267052449054708,3.75003466057243,2.9382297071372934,1.7656488400437074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,8170.701684534131,485.26860631119337,2614.1817991645544,2248.377626938896,1995.6189967188436,655.3933670940728,171.86128830657108,3.344035994791248,10.348844503668063,15.306663817875688,29.823184343745183,59.93691404837379,82.4916428974525,120.7700970918688,163.24722361341813,211.63528622738698,232.9401909905994,263.480133474009,269.572248326019,272.95415090459795,254.40059956031956,236.64274223751724,218.1832426487156,195.899481180333,172.83139975471082,148.78636345844484,136.8559604019016,116.57678688067881,103.6720739400558,89.51715736671595,87.50414206899609,81.88151191490898,79.76028225616534,76.9604950170276,82.0906226775915,80.74312532184395,81.74477662148506,80.4271638815963,88.183692773287,88.25706796606133,89.17775160364108,87.4812227552854,95.20758934643463,93.2075669004687,92.70706453794632,90.72204021907869,99.51427853020174,102.5762280722087,108.3116691901489,115.85345626825857,136.29986082880941,143.3114317757457,156.77490249835648,167.96914385227552,179.49362910204326,180.1147749322768,194.51912760449642,193.17053578042115,187.05424768709614,174.95573520334253,163.5329972374631,137.6746205916715,117.04785045365476,100.08474187978105,86.95605549770494,71.02388176909182,62.83781523073951,55.28795615005905,50.93191605072097,45.45973708476167,44.158710017997464,39.358208663171844,35.82114216325064,31.839601435842557,31.633601150951236,28.47647442755733,25.371721162582105,23.464498287547976,21.79045333959157,18.133237145102704,14.28991737757702,12.118314804839725,10.526346121484103,7.544063738641562,4.743534815743752,3.4512275125970007,1.9514995733062517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,9010.257082724078,518.0077655687148,2745.6495834971815,2438.0147415998913,2360.4565904102733,754.2339354288191,193.8944662191991,4.2103557895300625,8.318624737192815,18.3680007481404,39.16193808146973,60.44917525392753,86.75355186099674,128.7310014204203,172.01511767703715,214.96385202464103,259.32782914938224,279.14246705995805,295.2555593526108,292.79956073663686,267.77625095311197,242.80896924832746,225.72713715661888,197.92283826565844,170.7418364580783,158.02961315876368,141.15366993339322,123.51616988438137,106.19446816263591,100.1274758846987,93.48833544603869,83.44933129523021,84.38941637278603,85.4093041078598,87.67571376638601,83.38900624993495,87.48254929197235,89.89098272460498,94.67566359514312,91.60911130982085,95.84821794956059,98.29980424828148,103.27440129491787,97.388895576702,100.46160775329642,103.49855946166977,110.06796753491304,108.43640846374792,119.09044419918091,134.35317147893795,155.99773554718996,164.9439443496688,178.73819637676309,191.63900378209226,212.07681342806615,213.1323731740913,221.34035078540748,230.6410780565026,232.49767145481616,207.56204251357013,187.41389354200317,173.0639780928014,147.40724485449078,117.8517760074522,100.6962171997154,89.48087518494906,72.47370635813056,60.92180033267991,57.564723977387494,53.31017018436269,48.544376991817224,42.083218465761156,40.045062702555256,36.72587982106318,34.536128202944944,30.27088766107432,29.22176125535818,27.081815060030426,24.412996281277042,19.65348104111672,17.356677930719172,13.784201510333538,11.875328554251634,8.372565803323248,6.0649681620070215,3.698823187780856,2.100959771926941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,10329.020111949836,647.8214481329549,3182.4425740345846,2754.9134962318767,2638.733870629168,874.8979832692661,230.2107396519818,4.7785968272909995,9.535771401656396,21.922203618217306,43.8622726277322,74.36466518639102,110.24604770814942,164.36343542762052,218.74845533589703,271.4243465540956,306.64840713211015,333.97587317857136,334.855804662832,336.44026592878134,306.2010611059698,285.78764828018797,254.98118847642783,233.65272859090615,192.36840872209808,172.56516740404655,153.5416739985582,140.31229827170043,121.59497232330592,114.56883682460102,107.39114765416788,100.92193052548443,95.85231667270428,96.56402574689106,94.71222482363848,98.62136945322077,98.8897218114925,101.31801754160948,102.42164411513413,107.4463329876232,108.12032663892596,110.8480284739087,111.49191247992586,114.20821908784409,113.63404218767808,116.66573304870937,118.59510987156655,127.57864395841284,134.36240993986158,151.73476615272327,167.0594656407473,183.763203072902,199.0010207389473,213.23146326004317,226.81074338187932,244.20908782892127,252.35792601759258,257.238836620021,254.4434094851129,240.58332876168495,211.6307854316941,191.38658719067425,164.07747883969506,139.7230182791699,115.39256517353185,102.37482676715736,85.23393663334642,73.22316859770679,65.94408314794755,60.987925044301775,54.02664892724912,50.49456636510651,45.82258243858098,42.4363618774111,39.23830001775689,37.03823133500728,34.586748884680944,32.24792215203138,28.75047819473773,24.19273342145462,20.310117049777574,15.952124090861476,13.658117888191516,9.716196849492473,7.022890008099378,4.303434922544368,2.431744855103057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,11901.48219244097,608.1494955588171,3008.7581666871447,3235.1903582122095,3524.630091935838,1227.1911429557856,297.5629370911767,0.0,9.317039240289029,20.77935141661243,40.569173717394975,71.88530085492643,112.54548514636204,151.81893770718492,201.23420747604726,251.3317558018467,285.31072968276334,308.8537745429952,315.5097532628276,318.0994901953071,291.62852316775366,268.63595307773517,239.22271674857032,223.76486959999798,185.113364293398,166.45398237146014,154.8332539424899,138.24195217216393,120.4571659853797,115.9078435492161,114.9281828862325,101.56080203218555,105.91862992221724,106.41063835142657,111.35379217016173,107.92166827721844,115.40857591023622,117.19347778680937,124.49397167299801,120.71641214810042,127.7295241840838,130.25175740187126,138.9985339281821,133.0309055300243,142.48017989767726,147.50211453657892,157.5804629261477,156.69016598675842,175.37746633364327,197.2140489523508,227.82208567054585,242.7660402675277,264.7378305107223,279.8463349789271,310.07881053992116,309.28854429752437,322.2282166454288,334.183615524585,347.7319464104254,311.0757057209615,291.7626692089165,272.0076135285548,238.92276430234332,189.29987130743316,165.38770826763374,143.23057466909628,118.09102793969649,98.96737550049238,94.64164252452166,86.72233442018512,80.495793893851,69.44229443336397,66.38263539080498,58.72250740740392,55.807377201302565,49.296634106978686,46.27547685144367,42.17779258008913,38.16669386396063,30.348189171049377,24.76684012285832,21.664720305167602,16.1680089570026,11.706694311751056,7.977623068269824,5.568371575854231,2.354212688655595,1.0916794880959226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,17860.35625285532,984.3626323157973,5084.1042079833705,4861.437308037592,4781.641038752818,1740.0354848952056,408.77558087053126,0.0,10.006097659790226,25.90285017870981,61.86075953944531,114.756230037343,175.72534148272754,255.54233682863762,340.56901658914376,442.57057351825813,495.93723097236847,521.7418719947187,525.6017228928268,535.1785420740322,474.01415785425036,438.6289433584038,423.93559646063653,379.8772773015184,318.8897572833606,281.39234090505266,246.33619336794467,214.0398319244041,198.69316247501453,176.78790286911808,171.45302389106104,171.2644322969923,165.50207247517966,160.17178470366525,168.02263246571664,173.45984316085548,174.90186870706611,171.91261209834218,185.61634056235326,192.3384593972559,195.9886948075709,194.72256276999556,207.26977485862568,209.45846263414163,212.508513757166,207.9450521796473,219.89075455125774,236.28476707617958,257.3032220503777,271.26929104563044,324.63224527997534,362.01840567623884,373.2656768002938,407.5509362940226,440.1746163725437,436.1124242472677,431.03398770195184,462.41301932880464,439.650370815748,407.8111973998728,369.5694631275703,355.9228705568103,296.11807043169324,262.8438005684748,235.1727002730425,210.40764611051,171.01599474258768,153.8891839036043,131.58687383171548,115.92970234108459,109.95301905364872,101.22207302541908,90.10620503242436,79.78284153283448,78.1254444798596,71.75541404761745,63.88373037245359,57.67831907596221,53.358587597836035,42.1676362601645,34.3262881763077,27.484584006615428,21.062948655877374,15.02743282210634,11.22298778436216,6.6303046720249625,3.05138842761455,1.1259589715889735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,16990.836586458452,906.8368157906477,4548.257623598116,4518.481577044572,4820.398354248219,1775.3645160808114,421.49769969608536,0.0,9.87424875710375,15.772592414163276,37.42614856243817,112.12548548139401,155.03015281692888,245.04377149656483,331.56441626205486,410.3948277509872,434.4237470605933,472.65672534383316,471.00098913369453,458.6166079340388,442.556574692618,397.00445194176524,377.7783016111539,325.8655516983364,292.553051241312,242.88346714533645,222.5233280444476,194.91335519759042,178.3875139347663,162.37888022338493,152.52736278915162,151.57751153123388,147.38687223589758,151.3854128154814,147.16326669692674,156.7633780167346,158.88612530509502,166.35624459519968,165.27020625934583,176.98444501038426,180.8943043187608,189.30070347164508,184.1244088997432,195.1668662023274,196.6441800449479,206.1058066102391,202.76366371787842,227.61409956074613,240.6891801779081,280.55141560818976,304.64637382099323,356.8852414551713,385.8277217680776,411.60781936335474,419.23368616742937,441.53644032434335,448.62709719721016,447.72638149313485,442.3009787128228,421.0518679862175,389.0948663866568,347.15952328852137,309.34673010528,272.9132195743275,240.2579165614439,210.00780071013827,175.9344086106256,154.08041549569603,134.79566738142114,123.87369756623946,108.09899651617634,103.00851703656427,91.77139759625952,85.62502585646922,74.99745317545009,71.747721921541,64.78154363719904,58.75601466828631,51.18904665211851,45.38692734017255,36.96262336520828,28.999985574261995,23.764534100686554,17.051819275648086,11.13691305933482,6.520624360367282,4.165983938084262,1.033961803176738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,19037.89855658672,1049.892130733647,5305.885681787634,4935.329932077949,5294.085400937127,1973.823836319267,478.88157473108856,0.0,4.148243811963419,19.241335839104345,47.26164024321878,107.28365921502208,192.26932728671898,283.0990764279552,396.5888479096643,493.6768365507399,539.1706962992779,576.2849728618958,574.6017025883967,530.373001162296,497.8350277478815,466.65147396013845,403.15456242196274,372.10875856984825,330.65757698867003,274.43254117892144,246.93853145760482,217.56346822821357,189.1840137672096,179.21738627305768,176.09335357045524,155.82140323767288,162.268052878249,162.05751384785674,164.55350116719572,162.0704237630132,173.8015038229207,178.70833314877868,186.5233888931397,184.6713359046476,198.9958957104269,204.5146753619511,208.81270779997482,203.57471859996247,216.7072337473417,219.80881769023725,234.36171643857384,238.2241085715876,268.45927163478854,303.2133806773648,346.12372734333013,387.6049357979637,419.06954281217065,438.01827338853036,455.6710363969612,482.79429344085764,474.50967384161044,482.4293641234016,490.26313526995233,481.76232599684334,425.74272957510215,389.98367395550406,366.23641633822876,317.7392175060569,257.2435289751379,228.99616326722042,204.0145479131325,162.25563986697628,143.78596940193785,136.48353074122346,125.04455454230316,109.25359883320013,105.20556850753549,94.9152012923266,88.88631547221658,81.33953024342773,75.43559011767255,66.78757605195835,59.22683641976066,47.234316288149955,37.35588373902383,33.05261498186387,27.04618954442634,19.874389897657128,15.075057777467705,10.008292711183232,5.181416083233351,1.2638808752638606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),16960.396390431462,956.9939815994345,4670.993488086036,4356.458546207656,4702.641847829628,1826.0358154491637,447.2727112595502,0.0,4.125117771378426,18.57960301815589,44.92668852827157,98.44491321052787,175.9770659249289,257.2489336816097,357.6916594645621,442.78018526703835,483.5683021045821,497.7423969464338,513.2813225979457,471.7617437156101,440.4868412858123,400.0082984846427,370.0572679205222,312.3816705164969,285.47859459539444,236.56079862119537,216.88606603036342,188.37150031057755,175.01975757669373,157.32807506875244,148.99629163306057,143.35291417008727,141.65651112407747,141.97994713433633,139.1983219275905,148.6609899197363,154.12943067741173,158.66970810495806,157.93846105826054,168.4363881721959,175.94977845543036,181.49432413751012,178.1592248438767,187.9402801158337,192.70794403439461,195.7815640869528,196.93593797385162,218.68106914423976,239.09409765424382,270.57810327544945,295.39792560813413,333.592898979129,370.3037065589909,386.3386636517334,401.9416265995487,424.43895772103485,428.8031610551271,427.36629297866455,436.9773448216662,419.4446225973527,386.4768535077752,363.8392541515631,323.1184652070433,279.8420569796337,246.15426103872443,219.96452590968465,182.084350728875,157.94636432391286,139.5659274083439,123.407685118254,108.725529751661,103.90830490082577,96.55738724089744,87.93356709056766,79.94585495778323,76.548110748133,69.99486522496305,60.297721644199505,52.354196626659444,45.423998557935114,37.067511514726576,30.28914994204321,26.01774696859992,20.057933400890807,14.000795944590433,9.316725527646954,4.747106314790958,1.1568488443711882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
