Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,8791.505725359497,325.02365078770487,2528.1056639672593,2805.133489480127,2188.412826690474,739.0681762402475,205.76191819368645,3.576869568520721,9.276637435455504,17.9153476829949,25.74280699781763,42.3569130674876,57.73080304553961,74.14589534722535,94.27837764266356,129.62694881660022,146.76783277073832,177.8347542783083,214.0893108622149,247.7957246029252,261.5201834257657,271.6057704810638,265.81473305613395,244.78864723186715,217.69016677418884,184.89666167488696,165.6749299925654,146.390099897769,130.84373048786122,117.3221074490872,113.33105520861315,108.7231715717268,103.58840089424842,103.50215654485173,102.76754851870972,106.24560029078951,108.08097364178316,112.49916656386415,112.89066848697027,116.37575273147907,116.35469212543116,118.21170027318554,115.45930493795817,115.95834106962887,111.97379552142507,115.30518565481628,115.36650368004135,118.56245517218504,122.53487849632722,134.2369303972311,138.60926986414444,149.08445516520035,162.7461306458345,182.09285961700104,193.5303996951561,205.1397250495417,214.81448876221756,216.8954151283242,207.19387954969562,193.56095945072826,175.8928575092768,154.24021210057046,133.22144401692762,112.97643840507784,96.1502803311472,83.78822780706534,73.47858736378024,64.44044427208927,56.50088024879444,50.660453391202324,44.7613012218112,40.81443057757088,38.683845869733794,38.900851371018184,37.912435380956666,36.35263585988083,33.57997780798803,31.139472296151986,26.33332773255351,22.404787751747538,18.481072879103746,14.763144025129444,9.717805428311241,6.272642185356822,3.726077750257101,2.2529206863552425,0.7380537908509539,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,12126.4542847856,397.96986229644875,3089.677037124642,3982.6326995317904,3239.022531728684,1102.902560103072,314.24959400096435,4.452551965375328,12.248561503519705,23.32985299030521,33.73802183123479,54.41219520068404,66.66421305526653,87.9019257699153,115.22253998014787,156.0710904130712,177.47525100016347,220.33580265347805,262.151222241484,298.5132578870054,315.1816447475468,328.02306503199765,323.6880131782728,301.31232760328913,263.85067686045267,231.61859070791348,211.45609479996742,191.1860255688284,173.95771196616062,167.41322439896783,160.54829825589565,154.16906094393875,146.1523327456836,145.0800393258928,143.63845018274372,145.97613427899265,148.47886236104637,154.14064393160422,155.24913491457974,158.6701626298925,159.57008058316126,161.80311864991273,162.75646696273805,163.20418880421062,163.2128554563119,168.00451591966038,173.59123595014103,179.3723921974622,187.37857497778032,201.2258823854117,217.8533061407731,233.28437169100238,250.22633783524464,277.10094091180474,294.23853865904925,302.90283278312353,310.1249023307492,312.8236710686521,299.19336289553013,281.7579736103685,255.9301104438808,226.7407164935266,194.69877300575192,166.54926644569932,140.63596424687142,124.3209618704363,108.91372971114149,96.98008988612308,85.7177938507987,77.12016879886494,67.89509236888208,63.304441030777255,59.83570596886066,57.086128917864684,54.54321700675191,52.0552666195696,47.96171194297085,43.83660734880624,39.994547464259746,34.49163224463055,27.951470732713428,22.073718197203235,18.141229584972347,11.165129364330568,7.4264596193448424,5.673439260265309,3.4783816218976287,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,29898.304081780265,812.7839938867053,8921.199589984748,9230.785834821481,7446.205719438751,2647.124556136666,840.2043875119131,6.400490554825424,10.329334100120061,24.47592426912887,47.17175919044773,89.8584213751099,140.07940705718687,206.4043085402364,288.06434879965,420.3237624231591,526.3330297146083,676.6265702266193,822.4255049335546,943.4474275664895,984.4628275992619,982.57552375595,912.5607912829726,820.1817359151945,704.7547088090017,596.5641253725887,530.9435823853489,482.13398293180273,430.00341067261286,403.8860169841666,392.01869256008035,380.87041457269765,361.1110580498598,364.8040370450057,363.65390861627446,362.37802442545217,365.4833857074224,373.7406028555637,374.5224097185746,372.1801777447685,363.8566035710828,364.4360881154808,362.10682611845,356.10311900170194,356.85166333468567,368.453482158933,377.32499623300345,385.41089081845075,402.45279452905265,427.8924528751752,439.1107961811824,487.34191472937613,529.2418563160936,583.0887792227902,631.912295905189,697.0649444455728,713.2252247009495,726.6334699724672,717.205367023425,684.3558940733977,619.9500925992687,559.3302914933208,496.8555889569005,416.704917179969,347.94580569929064,300.5642249387164,249.40175138473683,209.380073311676,189.51680985404775,174.28859394812156,159.2234711115787,154.15244594137081,149.53872365703376,149.64219195112338,146.76554715900102,142.03404943864226,136.90014995866895,124.89639780401045,109.37826399742792,93.64892227138704,76.71436959787553,56.025424117633065,42.944086442140375,26.897832671216346,15.537128300325474,9.769590742210557,5.458172170375335,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,33049.70319980604,848.4407286023843,8689.707077815901,10086.693423333385,9108.531972074064,3190.5889040252223,1125.7410939550878,6.494294648918835,11.238983271225289,26.52422260016875,51.13723987930746,99.17326759845312,152.8938884954189,213.9742474603832,287.0045846485087,403.2821053168522,502.4255401475508,627.6344358342832,768.8124926699878,892.1286644922053,952.2366550468632,954.1268574054424,904.5788913742954,823.6535411795834,716.3846572528404,603.0242082011628,541.4190288948353,494.56840689073255,447.4852978474897,419.1591307278469,413.3821582155954,402.9492699894925,386.69445259227234,385.87214746941885,387.18538471602824,385.40816729135963,391.38163398582014,399.61180004711326,405.9793752777645,409.79457007855484,401.85137333040217,399.2767208417177,399.9083723304507,390.15597859975657,391.00815983378914,407.4338507366626,418.1601099381631,435.2817082782754,462.98466495052224,499.5632453260944,551.5974440380609,608.3735622150488,658.0916173876346,724.6948199913754,793.3066460500012,834.5319119301637,867.4725249937281,892.7135980437315,881.5725488908595,829.8699992729602,758.4273086358082,679.2035676474064,580.2738670153473,487.32157274357286,406.20627986724816,346.5386944485245,290.85852647561967,261.8410322423033,234.27234724097886,217.8757320138026,200.40679658509455,191.17495198571052,181.23933576193338,182.94808980275917,189.9055448576749,189.60096038537185,183.09851152094376,172.128108977737,156.95400904017646,125.45900551683957,99.87540892912722,74.54498089519974,55.9868300407615,32.02052352535533,18.56481270664561,11.206356990852575,6.301585426077138,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,38694.12064498743,949.2197295138735,9622.691822142844,11605.390813630722,10561.753549317495,4174.24432554532,1780.8204048371679,9.038745966171957,14.799922668913686,32.50227472425406,56.84262024180208,104.86107953626212,158.4544420344898,246.65037250705385,326.070271834926,453.53085851342814,568.9998935311928,707.3510343656097,840.0138037185083,979.8489868647362,1048.8944247699437,1053.7020104145843,1003.9811886567724,914.8760355630743,790.111337958152,665.6542504715583,595.7279973152849,543.9843865008727,495.9684838020036,469.1014981849222,464.04201059287567,453.10725283605655,437.9010499583818,438.4824393101911,441.4746915185285,443.2412020087831,453.3019631238495,462.8734572181868,470.1291716185425,475.42009360270964,465.80748023592463,462.04018408628923,464.5706932449558,456.01812134052994,458.75167724200116,480.2881863924616,493.69358408257216,513.5649501668904,547.0344165425452,589.7000148076561,624.8938052129931,684.6006927862312,739.0581662912459,806.25660143239,885.1481391705008,950.3262644807443,1001.4162238450032,1034.6780309329238,1036.6322728892744,982.8972711811818,909.8297779356565,812.4604865139956,718.4496218583461,604.9493188683026,507.9658511437014,440.9107062440264,378.85400971450724,328.9370052601933,302.4309797090761,288.1821292020525,269.4066391793824,260.72169752095454,250.1803805682277,258.9097936815082,282.79581445338806,297.91265639199776,293.7450565111386,281.42950847403915,256.1302487277922,199.39106017043076,148.01986762482468,110.04615305570968,84.37146750017713,49.54214661777832,29.463016938343763,19.22337870108232,11.545844123853064,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,47341.51304093647,871.3736009827562,8287.961177572466,12951.420703173068,13554.64002583881,7239.328509062458,4436.789024306912,0.0,15.056845817403465,31.812474930400352,55.66008927920232,100.97906209937679,158.91024734267953,213.95013691485147,295.00474459884236,397.2216243051326,496.89326065112,598.9732386236167,726.6087079250315,826.1055258080952,888.1092563481386,889.1253392964934,865.0281124838501,787.3907323736757,694.1592921454219,586.5195551578407,531.8265324540483,486.6869922565587,454.81260314691866,430.62933251768965,439.5295739264683,442.5711144448151,431.92057857661865,426.52129876453097,437.1112263310402,449.1465182443595,455.11214773411143,476.1049415372239,505.4147305168543,529.6615704030472,528.0755689101265,534.3312309501812,551.3313921799677,563.0298453308485,571.1116448006985,604.467616504945,647.5402897180794,679.5247372891085,703.6835427541364,751.6023605836107,851.4998457511286,910.8181375580214,973.4289617309347,1063.681637366801,1153.7294420673345,1185.6434887572736,1246.6107443686572,1294.908720091342,1300.4238503668105,1252.7927966418865,1169.4657648629136,1067.6750066469103,935.4614753799243,812.0210079959503,716.0533214979537,642.4855289287462,589.9608100170541,571.7564786915176,556.0285881233011,545.0526739550481,543.5100593133877,532.7706720241371,534.4897676075827,565.2247421911285,629.9748587166519,701.8146429703488,708.9992913369458,691.8491971507018,637.7136253785412,533.5849092614764,375.90150365189726,293.6663337663989,210.86677882260653,136.74071322051051,69.91643392809728,49.25197127538429,19.422635120943557,7.060988423059762,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,50415.5214975255,1307.3171043295058,10180.856670079911,13534.757990195341,13543.698841291698,7766.777174711031,4082.11371691801,0.0,16.6816397244668,37.17099122664469,81.07951363380083,138.51667190656374,230.9251975871824,340.26089164796656,462.6821986028809,587.9656329690317,715.1006494961218,832.4904218019501,954.3468208396332,1063.0714380359243,1102.1573418424086,1077.8638485479078,1008.2278295038394,888.6056267572227,748.9281676255694,631.3145687159544,570.7843239443489,532.7532628776889,501.95555289268725,477.4054538573649,481.20862476766143,481.0733891848423,468.84175939636117,461.90567363430006,470.4898141554135,476.01212008084684,479.82282791825196,492.06105982912146,516.5045045917967,538.1030983173823,546.2963559369141,552.9007508454526,569.859650115789,578.7938530268283,587.4936715675317,611.5927508350561,656.0797714166902,690.9390879344576,733.2464499182432,788.3709855556717,841.0475215389889,905.9503935477776,967.3150720411313,1026.6408372507967,1107.422048971304,1181.1807783197771,1232.4002944981619,1275.563072528486,1299.9300501431876,1261.203711002088,1189.0015037645435,1095.4058265952601,1001.6852526291814,892.7311304072616,795.311146724148,728.3770557560057,679.0139864804391,630.3785478687116,602.5036089691453,588.7767240380277,582.46484575568,562.6277591340919,549.2177751336891,559.7369744643692,595.6376199794605,633.6506045650863,635.2178991459916,627.2384612423997,578.6003556449198,480.5341667489873,362.42473569172887,279.1158575638014,198.96123942742375,130.66032959227414,80.50306309670052,47.33034533161441,21.230049279395907,6.646609587686561,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,48716.9532321302,1174.633593782831,9285.627189839312,12741.413841110005,13489.368697634762,7819.748144835189,4206.161764928104,0.0,16.797016219983114,26.53038454895903,53.398880441120006,136.07946857862277,224.97611372970212,297.8682262049547,418.98350405948923,552.0020475703444,638.2296588972506,732.6618400741655,859.2814186979099,959.2954620266208,998.741787980648,982.2009594202126,929.8280746105477,829.6464030700121,704.6532686482091,579.1285021194276,519.9577667239647,480.3294824908385,456.4222701817337,432.39715150289084,442.23251889025636,440.3853022279722,436.8316531160368,424.30880294260976,434.91919283195074,443.40483538548597,448.33923438823564,458.64611378523415,487.48251881659166,500.68105034783446,516.6395858125218,522.7733008589687,535.6813395371801,546.0627682687648,564.910544352847,575.2868126512511,622.1351614115781,658.2364076202522,698.7037803860933,747.9089815563326,866.6950317465448,891.1722570869788,969.5787404580659,1020.8268307064841,1100.9559279077384,1123.032331916025,1228.1390345639122,1255.5487615335733,1297.732029371171,1270.3717020354075,1207.0917505235318,1104.5906152350904,1020.3287162967844,911.3292817980199,814.398225976084,740.2025297583722,680.5064155376164,635.6013989836806,610.3944979945228,586.3745673463402,583.6875474627776,575.3666177081242,549.4849123388025,547.4629741078702,584.9391758229789,620.8965606339011,632.3764353682842,624.3365365082368,588.5694498387837,515.6385608531671,393.55010143643403,292.27017712836187,224.67051853895734,150.5023778205361,80.43294660919194,47.39982209739973,28.868241290867747,6.650036803983147,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,48405.715447649636,1275.5923759441816,10267.040486284108,12874.197508517556,13493.932288842956,7147.684801977137,3347.2679860836956,0.0,9.484688366747564,27.020244262859613,61.66228798190727,139.08942553480455,237.06088267759412,338.1910053661734,463.0838417540952,606.0064737379582,715.1025683871118,822.3610447114247,952.6341692576108,1064.936931771452,1103.8592328922716,1086.7109002707432,1016.6916570595344,905.1897195685036,762.6801859188223,649.7800232901949,581.0875794184806,544.1913078320114,512.9354531501849,484.55638061875777,465.5406283859237,457.4740361559617,449.54366216442367,432.55691976713035,440.8212730992825,448.00982929546814,453.76239269459006,458.8640497021756,483.3443901487169,491.9249106791742,503.2017295216152,502.3558217397889,515.0881771013418,521.7679195797335,542.9292862785227,558.9311800192821,617.9935162191916,662.9434777612394,713.2568668603601,765.6638785609292,846.5404211817505,905.2368847820044,983.4576081107033,1039.993844353961,1136.8930155295748,1195.3774657652225,1251.6216720301586,1267.1763573028686,1286.5691204307352,1234.3843655318894,1164.1136402826605,1052.743788956375,976.3645257668007,863.1909910596324,773.2069450611345,697.3922774526026,649.9201547483314,588.3473425426586,567.2232563684753,531.5302247606802,524.6020919154648,505.7088545919737,480.30596710976295,472.4735720890328,493.7831242773872,507.6991652614226,512.9806570795984,504.4386280158712,468.21491465739706,393.19862704496836,304.6552760031384,228.1885133810347,170.2505204594534,114.11625850553108,74.52985438039661,43.771366543042745,21.166323539777967,4.05788121206331,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),39898.75571256906,1102.2547313808814,8448.38259913967,10732.282061547134,10566.453156966878,6223.616794713365,2825.766368821124,0.0,9.179476273352275,24.993252272488533,58.09712744179822,120.59449988143669,204.4231968196636,291.5468685376742,393.42031015446776,505.80740376336547,597.3796973597903,689.8793719701528,795.5637852953096,892.4060951509877,921.747095854175,901.0875966629717,830.5630209641995,728.9527046255079,604.2682302591802,512.7372997529229,467.99029748110655,443.3503907213904,425.58168218826006,405.00443051736636,395.3689290498889,383.9003341246537,380.7312878845036,365.9089290934802,377.5705941644258,381.4190158789118,385.49989761004366,385.91435424606965,408.452991594062,410.5305266104947,416.64326031867796,414.10034357883035,427.3014829340375,428.5401226311776,447.5067266397822,463.0308886525936,514.834580635539,547.8099859949311,591.9230290204309,631.5156846879464,699.8425927696359,708.9950844950412,767.5180155419374,807.1044626475999,888.6305295984189,920.8472314658403,982.0512184725873,982.5228048277307,995.465489638882,954.3553088035087,908.7176413675634,844.6484354800384,805.59693462773,752.5947182305209,680.9378365051473,624.1834034927674,585.689255959291,532.1140144906599,484.2239167035555,452.36426875171713,446.58962682115094,428.5695014761074,408.9169002290047,403.9070612574653,423.52629079597784,430.4350605339112,431.52874621882785,421.88788725031037,391.99961542197235,328.975311511264,254.77921861723004,193.23406907687232,147.80717655601117,98.80628935455942,63.745746090636864,39.505346733376754,19.647584000673625,3.414317455478253,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
